Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
29,"Ambrose, Patrick",26y 240d,61 (24-1-36 40.16%),20 (0.33),←,
12,"Baguley, Mark",30y 343d,108 (46-1-61 43.06%),4 (0.04),←,
6,"Daniher, Joe",24y 56d,99 (37-1-61 37.88%),180 (1.82),←,
9,"Goddard, Brendon",32y 344d,318 (173-4-141 55.03%),159 (0.50),113 (47-1-65 42.04%),55 (0.49)
35,"Guelfi, Matt",20y 258d,3 (1-0-2 33.33%),,←,
21,"Heppell, Dyson",25y 350d,135 (64-2-69 48.15%),47 (0.35),←,
26,"Hooker, Cale",29y 198d,159 (71-2-86 45.28%),75 (0.47),←,
18,"Hurley, Michael",27y 332d,146 (67-3-76 46.92%),108 (0.74),←,
33,"Laverde, Jayden",22y 17d,24 (7-0-17 29.17%),15 (0.63),←,
22,"Leuenberger, Matthew",29y 326d,136 (41-1-94 30.51%),31 (0.23),28 (6-0-22 21.43%),4 (0.14)
43,"McDonald-Tipungwuti, Anthony",25y 7d,50 (17-0-33 34.00%),48 (0.96),←,
1,"McGrath, Andrew",19y 331d,27 (13-0-14 48.15%),2 (0.07),←,
41,"McNiece, Ben",26y 38d,3 (1-0-2 33.33%),,←,
20,"Merrett, Jackson",25y 61d,56 (24-0-32 42.86%),23 (0.41),←,
7,"Merrett, Zach",22y 208d,87 (33-1-53 38.51%),32 (0.37),←,
19,"Mutch, Kobe",20y 42d,1 (0-0-1 0.00%),,←,
3,"Parish, Darcy",20y 278d,46 (15-0-31 32.61%),14 (0.30),←,
42,"Saad, Adam",23y 280d,54 (15-1-38 28.70%),3 (0.06),6 (2-0-4 33.33%),
5,"Smith, Devon",24y 344d,115 (40-2-73 35.65%),104 (0.90),6 (2-0-4 33.33%),4 (0.67)
17,"Stewart, James",24y 56d,40 (19-0-21 47.50%),52 (1.30),22 (11-0-11 50.00%),34 (1.55)
25,"Stringer, Jake",24y 4d,95 (50-0-45 52.63%),170 (1.79),6 (2-0-4 33.33%),10 (1.67)
11,"Zaharakis, David",28y 67d,176 (78-2-96 44.89%),113 (0.64),←,
Totals,Totals,25y 90d,1939 (836-21-1082 43.12%),1200 (0.62),,
C,"Worsfold, John",49y 216d,332 (166-2-164 50.30%),,51 (17-0-34 33.33%),
