Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",,,,,,,,,,,,1.0,,,,,,,,,,,
11,"Archer, Glenn",10.0,6.0,5.0,15.0,1.0,,,2.0,,2.0,3.0,2.0,,1.0,,8.0,7.0,1.0,2.0,3.0,,,
12,"Blakey, John",15.0,8.0,3.0,18.0,,,,2.0,7.0,,,1.0,1.0,,,3.0,14.0,,,1.0,,,
22,"Burton, Matthew",5.0,7.0,8.0,13.0,,,19.0,,,1.0,1.0,2.0,,,,6.0,5.0,3.0,,1.0,,,
23,"Clayton, Shane",7.0,7.0,3.0,10.0,,1.0,,3.0,1.0,1.0,1.0,,,2.0,,3.0,7.0,,1.0,1.0,,,
45,"Cochrane, Stuart",9.0,5.0,1.0,10.0,1.0,,,,2.0,2.0,,1.0,,,,2.0,8.0,,,1.0,,,
2,"Colbert, Leigh",9.0,2.0,4.0,13.0,,,1.0,1.0,8.0,1.0,1.0,1.0,,1.0,,6.0,6.0,2.0,,1.0,,,
6,"Grant, Shannon",23.0,5.0,10.0,33.0,1.0,,,1.0,3.0,1.0,4.0,3.0,2.0,3.0,,15.0,19.0,,,1.0,,,
14,"Harris, Daniel",11.0,3.0,4.0,15.0,1.0,,,6.0,,,4.0,2.0,3.0,2.0,,15.0,3.0,1.0,,4.0,,,
35,"Makepeace, Troy",8.0,3.0,4.0,12.0,1.0,,,1.0,1.0,1.0,1.0,,,,,2.0,9.0,,1.0,2.0,,,
5,"McCartney, Jason",8.0,1.0,2.0,10.0,,,,,4.0,,1.0,1.0,2.0,1.0,,5.0,5.0,,,2.0,,,
31,"McKernan, Corey",12.0,6.0,,12.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,,2.0,,5.0,7.0,1.0,1.0,1.0,,,
44,"Motlop, Shannon",5.0,,4.0,9.0,1.0,2.0,,3.0,,2.0,2.0,1.0,,,,6.0,2.0,,,,,,
20,"Petrie, Drew",5.0,1.0,,5.0,,,3.0,,,2.0,,1.0,1.0,,,4.0,1.0,,,,,,
28,"Pickett, Byron",7.0,4.0,5.0,12.0,,,,3.0,2.0,1.0,2.0,2.0,1.0,4.0,,4.0,7.0,,,1.0,3.0,,
3,"Rawlings, Brady",6.0,1.0,4.0,10.0,,,,1.0,,3.0,1.0,4.0,1.0,,,2.0,8.0,,,1.0,,,
26,"Rocca, Saverio",10.0,8.0,1.0,11.0,1.0,2.0,2.0,,,4.0,,,1.0,,,3.0,7.0,1.0,3.0,2.0,,,
7,"Simpson, Adam",16.0,2.0,4.0,20.0,,,2.0,1.0,3.0,2.0,7.0,1.0,3.0,,,14.0,5.0,,,1.0,,,
9,"Sinclair, Jess",6.0,1.0,7.0,13.0,,1.0,,6.0,,1.0,1.0,3.0,,2.0,,11.0,1.0,,,1.0,,,
13,"Smith, Dylan",5.0,,4.0,9.0,,,,3.0,,5.0,1.0,1.0,2.0,,,6.0,3.0,,,,,,
10,"Stevens, Anthony",23.0,5.0,6.0,29.0,,,,2.0,2.0,5.0,3.0,2.0,5.0,2.0,,11.0,20.0,,,1.0,2.0,,
36,"Watt, Shannon",,,,,,,,,,,,,1.0,,,1.0,,,,,,,
Totals,Totals,200.0,75.0,79.0,279.0,9.0,7.0,31.0,36.0,34.0,38.0,34.0,31.0,23.0,20.0,,132.0,144.0,9.0,8.0,25.0,5.0,,
Opposition,Opposition,231.0,114.0,118.0,349.0,23.0,8.0,22.0,28.0,24.0,61.0,38.0,22.0,20.0,23.0,6.0,136.0,218.0,14.0,18.0,32.0,7.0,,
