Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",29y 68d,209 (129-0-80 61.72%),118 (0.56),←,
38,"Baird, John",21y 354d,10 (5-0-5 50.00%),1 (0.10),←,
12,"Blakey, John",35y 311d,352 (187-0-165 53.13%),107 (0.30),217 (135-0-82 62.21%),69 (0.32)
22,"Burton, Matthew",32y 12d,124 (49-0-75 39.52%),54 (0.44),54 (27-0-27 50.00%),22 (0.41)
23,"Clayton, Shane",23y 219d,97 (50-0-47 51.55%),47 (0.48),79 (48-0-31 60.76%),46 (0.58)
2,"Colbert, Leigh",26y 358d,143 (82-1-60 57.69%),62 (0.43),38 (20-0-18 52.63%),12 (0.32)
6,"Grant, Shannon",25y 42d,162 (98-1-63 60.80%),183 (1.13),104 (66-0-38 63.46%),145 (1.39)
39,"Harding, Leigh",21y 35d,11 (5-0-6 45.45%),10 (0.91),←,
14,"Harris, Daniel",20y 21d,11 (3-0-8 27.27%),1 (0.09),←,
29,"Harvey, Brent",24y 17d,119 (75-0-44 63.03%),133 (1.12),←,
34,"King, David",30y 85d,186 (119-0-67 63.98%),96 (0.52),←,
35,"Makepeace, Troy",23y 86d,49 (25-0-24 51.02%),12 (0.24),←,
4,"Martyn, Mick",33y 273d,274 (163-1-110 59.67%),16 (0.06),←,
5,"McCartney, Jason",28y 78d,177 (97-0-80 54.80%),60 (0.34),102 (63-0-39 61.76%),12 (0.12)
32,"Morrell, Digby",22y 233d,13 (6-0-7 46.15%),12 (0.92),←,
28,"Pickett, Byron",24y 293d,108 (67-0-41 62.04%),59 (0.55),←,
17,"Porter, Mark",25y 232d,65 (33-0-32 50.77%),15 (0.23),10 (5-0-5 50.00%),2 (0.20)
30,"Robbins, Ben",25y 155d,62 (30-2-30 50.00%),16 (0.26),10 (5-0-5 50.00%),2 (0.20)
26,"Rocca, Saverio",28y 192d,187 (83-2-102 44.92%),585 (3.13),31 (13-0-18 41.94%),71 (2.29)
7,"Simpson, Adam",26y 104d,146 (95-0-51 65.07%),48 (0.33),←,
10,"Stevens, Anthony",30y 333d,243 (149-0-94 61.32%),107 (0.44),←,
40,"Teague, David",21y 26d,13 (6-0-7 46.15%),2 (0.15),←,
Totals,Totals,26y 144d,2761 (1556-7-1198 56.36%),1744 (0.63),,
C,"Pagan, Denis",54y 249d,227 (143-0-84 63.00%),,←,
