Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",11,6,3,14,,,,1.0,5.0,1.0,1.0,3.0,2.0,,,6.0,8.0,1.0,,3.0,2.0,,82.0
16,"Brown, Leigh",7,4,3,10,4,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,3.0,1.0,,,92.0
43,"Campbell, Matt",1,,2,3,,,,1.0,,,1.0,2.0,,1.0,,3.0,,,,1.0,,,76.0
27,"Edwards, Aaron",8,4,3,11,2,,,2.0,,4.0,,2.0,3.0,1.0,,8.0,4.0,3.0,2.0,3.0,,1.0,94.0
24,"Firrito, Michael",9,8,14,23,,,,,6.0,2.0,3.0,3.0,,1.0,,7.0,15.0,1.0,,8.0,7.0,,100.0
38,"Gibson, Josh",4,2,10,14,,,,2.0,3.0,,,,1.0,,,7.0,6.0,,,9.0,,,100.0
6,"Grant, Shannon",7,3,3,10,3,,,2.0,,4.0,1.0,2.0,1.0,,,2.0,7.0,,1.0,,2.0,,91.0
17,"Grima, Blake",4,1,11,15,,,,3.0,,1.0,2.0,,1.0,,,6.0,9.0,,1.0,,1.0,,53.0
31,"Hale, David",3,2,3,6,1,,5.0,1.0,,1.0,2.0,3.0,,2.0,,2.0,4.0,,1.0,1.0,,,59.0
4,"Harris, Daniel",13,5,18,31,,,,,1.0,4.0,5.0,4.0,,2.0,2.0,11.0,21.0,,,1.0,,1.0,62.0
29,"Harvey, Brent",17,7,13,30,1,,,1.0,3.0,4.0,,5.0,1.0,2.0,,8.0,23.0,2.0,1.0,,1.0,3.0,91.0
21,"Jones, Corey",9,3,6,15,2,1.0,,2.0,,4.0,,2.0,2.0,1.0,,4.0,11.0,,2.0,1.0,,1.0,95.0
1,"McIntosh, Hamish",12,7,5,17,1,,19.0,,3.0,2.0,3.0,2.0,,1.0,,6.0,11.0,2.0,1.0,3.0,,1.0,62.0
20,"Petrie, Drew",7,3,4,11,1,2.0,5.0,4.0,,3.0,1.0,3.0,1.0,2.0,,3.0,8.0,,,2.0,,,97.0
30,"Pratt, Daniel",4,1,4,8,,,,4.0,,,1.0,3.0,1.0,1.0,,2.0,7.0,,,4.0,,,84.0
3,"Rawlings, Brady",9,5,26,35,,,,1.0,1.0,3.0,1.0,1.0,,,3.0,6.0,29.0,,,,2.0,,96.0
7,"Simpson, Adam",13,5,13,26,,,1.0,3.0,1.0,6.0,4.0,3.0,1.0,2.0,,5.0,21.0,1.0,,4.0,,,88.0
9,"Sinclair, Jess",16,6,1,17,1,,,3.0,2.0,6.0,2.0,3.0,,1.0,,3.0,14.0,,1.0,1.0,,2.0,88.0
10,"Smith, Jesse",14,6,13,27,1,,,2.0,5.0,5.0,1.0,,1.0,,,5.0,21.0,1.0,,3.0,3.0,,91.0
19,"Swallow, Andrew",13,3,11,24,1,1.0,,4.0,,4.0,10.0,3.0,4.0,1.0,,15.0,9.0,,,2.0,,2.0,73.0
36,"Watt, Shannon",7,4,4,11,,,,,4.0,2.0,,2.0,1.0,2.0,,3.0,9.0,1.0,,4.0,,1.0,100.0
8,"Wells, Daniel",1,1,1,2,,,,2.0,,,,,,,,1.0,1.0,,,,,,26.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,86,171,360,18,9.0,30.0,39.0,35.0,57.0,39.0,47.0,21.0,21.0,5.0,120.0,240.0,14.0,13.0,51.0,18.0,12.0,
Opposition,Opposition,229,134,147,376,13,17.0,20.0,53.0,37.0,57.0,25.0,54.0,21.0,21.0,1.0,121.0,253.0,20.0,26.0,45.0,16.0,9.0,
