North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Campbell, Matt",21y 63d,14 (8-0-6 57.14%),10 (0.71),←,
27,"Edwards, Aaron",24y 22d,23 (15-0-8 65.22%),26 (1.13),19 (11-0-8 57.89%),24 (1.26)
11,"Firrito, Michael",24y 118d,83 (43-0-40 51.81%),13 (0.16),←,
38,"Gibson, Josh",24y 11d,24 (11-0-13 45.83%),,←,
6,"Grant, Shannon",30y 340d,281 (157-2-122 56.23%),332 (1.18),223 (125-1-97 56.28%),294 (1.32)
31,"Hale, David",23y 307d,80 (35-0-45 43.75%),43 (0.54),←,
39,"Harding, Leigh",26y 333d,90 (44-1-45 49.44%),123 (1.37),←,
4,"Harris, Daniel",25y 319d,117 (58-1-58 50.00%),34 (0.29),←,
29,"Harvey, Brent",29y 315d,242 (135-1-106 55.99%),282 (1.17),←,
21,"Jones, Corey",27y 27d,127 (60-0-67 47.24%),165 (1.30),←,
1,"McIntosh, Hamish",23y 202d,44 (20-0-24 45.45%),20 (0.45),←,
20,"Petrie, Drew",25y 161d,132 (64-1-67 48.86%),112 (0.85),←,
5,"Power, Sam",24y 266d,85 (28-2-55 34.12%),16 (0.19),1 (0-0-1 0.00%),
30,"Pratt, Daniel",25y 3d,64 (33-0-31 51.56%),4 (0.06),61 (32-0-29 52.46%),3 (0.05)
3,"Rawlings, Brady",26y 288d,159 (82-0-77 51.57%),54 (0.34),←,
7,"Simpson, Adam",32y 37d,268 (156-1-111 58.40%),74 (0.28),←,
19,"Swallow, Andrew",20y 296d,38 (18-0-20 47.37%),12 (0.32),←,
12,"Thomas, Lindsay",20y 25d,13 (6-0-7 46.15%),13 (1.00),←,
23,"Thompson, Nathan",30y 39d,165 (75-1-89 45.76%),302 (1.83),46 (20-0-26 43.48%),110 (2.39)
37,"Thompson, Scott",21y 320d,1 (0-0-1 0.00%),,←,
36,"Watt, Shannon",27y 119d,132 (67-1-64 51.14%),9 (0.07),←,
8,"Wells, Daniel",23y 50d,103 (50-1-52 49.03%),60 (0.58),←,
Totals,Totals,25y 150d,2285 (1165-12-1108 50.98%),1704 (0.75),,
C,"Laidley, Dani",40y 363d,115 (56-1-58 49.13%),,←,
