Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
12,"Crameri, Stewart",23y 234d,24 (11-1-12 47.92%),34 (1.42),←,
15,"Dempsey, Courtenay",24y 216d,55 (20-2-33 38.18%),13 (0.24),←,
31,"Fletcher, Dustin",36y 329d,348 (205-5-138 59.63%),68 (0.20),←,
34,"Hardingham, Kyle",23y 212d,29 (14-1-14 50.00%),9 (0.31),←,
21,"Heppell, Dyson",19y 322d,24 (12-1-11 52.08%),4 (0.17),←,
43,"Hibberd, Michael",22y 88d,10 (5-0-5 50.00%),1 (0.10),←,
19,"Hille, David",30y 303d,185 (86-1-98 46.76%),144 (0.78),←,
39,"Hocking, Heath",24y 95d,63 (28-2-33 46.03%),24 (0.38),←,
26,"Hooker, Cale",23y 170d,50 (18-1-31 37.00%),5 (0.10),←,
40,"Howlett, Ben",23y 162d,39 (17-1-21 44.87%),15 (0.38),←,
18,"Hurley, Michael",21y 304d,48 (20-2-26 43.75%),51 (1.06),←,
7,"Jetta, Leroy",23y 269d,63 (30-1-32 48.41%),52 (0.83),←,
42,"Lovett-Murray, Nathan",29y 134d,126 (45-2-79 36.51%),66 (0.52),←,
10,"McVeigh, Mark",31y 65d,230 (109-4-117 48.26%),107 (0.47),←,
17,"Melksham, Jake",20y 215d,38 (15-1-22 40.79%),14 (0.37),←,
6,"Monfries, Angus",25y 72d,133 (50-3-80 38.72%),147 (1.11),←,
23,"Myers, David",22y 275d,37 (15-0-22 40.54%),7 (0.19),←,
16,"Pears, Tayte",22y 7d,48 (19-1-28 40.63%),3 (0.06),←,
30,"Ryder, Paddy",24y 17d,118 (48-3-67 41.95%),71 (0.60),←,
5,"Stanton, Brent",25y 335d,163 (62-3-98 38.96%),105 (0.64),←,
4,"Watson, Jobe",27y 52d,133 (53-3-77 40.98%),60 (0.45),←,
11,"Zaharakis, David",22y 39d,54 (24-1-29 45.37%),57 (1.06),←,
Totals,Totals,24y 344d,2018 (906-39-1073 44.90%),1057 (0.52),,
C,"Hird, James",39y 56d,24 (12-1-11 52.08%),,←,
