Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
46,"Baguley, Mark",9,4,5,14,,,,4.0,5.0,2.0,,3.0,1.0,1.0,,4.0,10.0,,,1.0,,,93.0
44,"Bellchambers, Tom",9,9,5,14,,,48.0,1.0,1.0,3.0,1.0,1.0,,1.0,2.0,6.0,8.0,4.0,,4.0,,1.0,93.0
24,"Browne, Alex",9,4,6,15,,,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,9.0,7.0,,,2.0,,,73.0
22,"Carlisle, Jake",6,1,3,9,,,,2.0,2.0,1.0,,3.0,2.0,1.0,,4.0,5.0,,,8.0,,,100.0
32,"Colyer, Travis",14,4,7,21,,1.0,,2.0,3.0,4.0,2.0,4.0,,1.0,,10.0,11.0,1.0,,,1.0,2.0,79.0
12,"Crameri, Stewart",3,2,5,8,1,1.0,,3.0,,2.0,,1.0,1.0,1.0,,5.0,3.0,,2.0,2.0,,1.0,87.0
29,"Davey, Alwyn",6,1,2,8,3,,,6.0,,3.0,1.0,,1.0,,,5.0,4.0,,1.0,,,,81.0
15,"Dempsey, Courtenay",10,3,8,18,,,,3.0,2.0,1.0,2.0,,3.0,,,9.0,10.0,,,3.0,,,93.0
31,"Fletcher, Dustin",10,2,3,13,,1.0,,1.0,3.0,2.0,,1.0,,,,3.0,6.0,1.0,,9.0,,,100.0
3 ↓,"Gumbleton, Scott",4,2,3,7,,1.0,1.0,,,,1.0,2.0,,1.0,,4.0,3.0,,1.0,1.0,,,59.0
34,"Hardingham, Kyle",6,1,6,12,,,,5.0,1.0,,,2.0,,1.0,,7.0,5.0,,,17.0,,,99.0
21,"Heppell, Dyson",12,2,5,17,,,2.0,5.0,3.0,4.0,2.0,3.0,1.0,,,7.0,10.0,,,1.0,2.0,,83.0
43,"Hibberd, Michael",11,5,10,21,,,,,2.0,3.0,,4.0,,1.0,,9.0,13.0,,,2.0,,,87.0
39,"Hocking, Heath",6,2,8,14,,1.0,,3.0,1.0,3.0,5.0,3.0,2.0,1.0,,8.0,5.0,1.0,,,,,80.0
18,"Hurley, Michael",9,6,2,11,3,2.0,,,,1.0,,1.0,3.0,,,6.0,6.0,2.0,5.0,,,,90.0
7,"Jetta, Leroy",6,2,7,13,,1.0,,3.0,,2.0,2.0,8.0,,3.0,,5.0,8.0,,,1.0,2.0,2.0,80.0
41,"Lee, Brendan",10,3,8,18,,,,6.0,3.0,3.0,3.0,2.0,,1.0,,7.0,11.0,,,1.0,,,78.0
14,"Lonergan, Sam",6,2,6,12,1,,,4.0,4.0,1.0,3.0,3.0,2.0,1.0,,8.0,4.0,,,,,,76.0
42,"Lovett-Murray, Nathan",6,3,12,18,1,,1.0,4.0,,3.0,5.0,2.0,1.0,1.0,,10.0,7.0,1.0,,1.0,,,78.0
17,"Melksham, Jake",8,4,3,11,1,1.0,,4.0,1.0,2.0,2.0,3.0,2.0,2.0,,6.0,6.0,1.0,1.0,,2.0,,75.0
6 ↑,"Monfries, Angus",2,,4,6,,,,1.0,,,,2.0,,,,2.0,4.0,,,,,,27.0
4,"Watson, Jobe",19,4,13,32,1,,,7.0,3.0,4.0,5.0,2.0,3.0,,1.0,15.0,19.0,1.0,2.0,3.0,1.0,2.0,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,181,66,131,312,11,10.0,52.0,65.0,37.0,46.0,36.0,51.0,23.0,18.0,3.0,149.0,165.0,12.0,12.0,56.0,8.0,8.0,
Opposition,Opposition,218,106,169,387,15,10.0,37.0,61.0,30.0,58.0,40.0,44.0,18.0,23.0,3.0,134.0,256.0,5.0,11.0,46.0,21.0,10.0,
