Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",27y 174d,96 (57-2-37 60.42%),108 (1.13),←,
16,"Barnard, Paul",26y 77d,52 (27-0-25 51.92%),13 (0.25),41 (24-0-17 58.54%),9 (0.22)
20,"Berbakov, Peter",25y 252d,50 (30-1-19 61.00%),14 (0.28),←,
8,"Bewick, Darren",31y 253d,201 (121-1-79 60.45%),305 (1.52),←,
32,"Blumfield, Justin",21y 158d,52 (28-0-24 53.85%),24 (0.46),←,
33,"Caracella, Blake",22y 47d,39 (20-0-19 51.28%),39 (1.00),←,
38,"Denham, Sean",30y 2d,172 (97-4-71 57.56%),65 (0.38),128 (73-4-51 58.59%),44 (0.34)
36,"Eastaugh, Simon",25y 323d,14 (7-0-7 50.00%),1 (0.07),←,
31,"Fletcher, Dustin",23y 359d,115 (70-3-42 62.17%),35 (0.30),←,
30,"Fraser, Mark",28y 86d,93 (53-2-38 58.06%),44 (0.47),48 (27-2-19 58.33%),21 (0.44)
26,"Heffernan, Chris",20y 92d,21 (11-0-10 52.38%),6 (0.29),←,
18,"Lloyd, Matthew",21y 15d,65 (33-1-31 51.54%),187 (2.88),←,
25,"Lucas, Scott",21y 122d,65 (35-0-30 53.85%),91 (1.40),←,
24,"Misiti, Joe",24y 173d,125 (71-4-50 58.40%),48 (0.38),←,
29,"Moorcroft, Gary",23y 15d,31 (17-0-14 54.84%),26 (0.84),←,
15,"Prior, Michael",25y 237d,56 (28-1-27 50.89%),17 (0.30),←,
43,"Rioli, Dean",20y 346d,3 (3-0-0 100.00%),3 (1.00),←,
7,"Solomon, Dean",19y 112d,10 (3-0-7 30.00%),2 (0.20),←,
12,"Symons, Michael",27y 227d,101 (60-3-38 60.89%),79 (0.78),←,
21,"Wallis, Dean",29y 247d,93 (54-1-38 58.60%),29 (0.31),←,
6,"Wellman, Sean",24y 223d,93 (43-2-48 47.31%),13 (0.14),59 (30-1-28 51.69%),4 (0.07)
35,"Young, Barry",28y 309d,114 (53-2-59 47.37%),62 (0.54),61 (34-2-25 57.38%),39 (0.64)
Totals,Totals,24y 358d,1661 (921-27-713 55.45%),1211 (0.73),,
C,"Sheedy, Kevin",51y 128d,429 (268-5-156 63.05%),,←,
