Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
39,"Aarts, Jake",25y 258d,9 (7-0-2 77.78%),10 (1.11),←,
7,"Baker, Liam",22y 208d,34 (26-1-7 77.94%),9 (0.26),←,
21,"Balta, Noah",20y 304d,22 (15-0-7 68.18%),6 (0.27),←,
29,"Bolton, Shai",21y 258d,40 (29-1-10 73.75%),30 (0.75),←,
11,"Castagna, Jason",24y 41d,89 (62-1-26 70.22%),92 (1.03),←,
41,"Chol, Mabior",23y 206d,19 (15-0-4 78.95%),16 (0.84),←,
9,"Cotchin, Trent",30y 137d,243 (134-3-106 55.76%),126 (0.52),←,
34,"Graham, Jack",22y 179d,47 (37-1-9 79.79%),19 (0.40),←,
2,"Grimes, Dylan",29y 37d,164 (106-1-57 64.94%),3 (0.02),←,
14,"Houli, Bachar",32y 102d,212 (117-4-91 56.13%),42 (0.20),186 (107-3-76 58.33%),33 (0.18)
23,"Lambert, Kane",28y 270d,108 (74-1-33 68.98%),67 (0.62),←,
19,"Lynch, Tom",27y 296d,169 (64-2-103 38.46%),338 (2.00),38 (27-1-10 72.37%),84 (2.21)
31,"Markov, Oleg",24y 106d,20 (9-0-11 45.00%),3 (0.15),←,
4,"Martin, Dustin",29y 57d,236 (134-3-99 57.42%),262 (1.11),←,
33,"McIntosh, Kamdyn",26y 141d,100 (67-0-33 67.00%),27 (0.27),←,
50,"Pickett, Marlion",28y 229d,12 (8-1-3 70.83%),5 (0.42),←,
8,"Riewoldt, Jack",31y 296d,275 (144-5-126 53.27%),651 (2.37),←,
17,"Rioli, Daniel",23y 128d,87 (57-1-29 66.09%),74 (0.85),←,
15,"Short, Jayden",24y 211d,84 (56-1-27 67.26%),20 (0.24),←,
20,"Soldo, Ivan",24y 130d,33 (24-1-8 74.24%),8 (0.24),←,
44,"Stack, Sydney",20y 116d,26 (17-1-8 67.31%),12 (0.46),←,
1,"Vlastuin, Nick",26y 125d,153 (98-1-54 64.38%),27 (0.18),←,
Totals,Totals,25y 307d,2182 (1300-29-853 59.58%),1847 (0.85),,
C,"Hardwick, Damien",48y 4d,244 (138-3-103 57.17%),,←,
