St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Dean",5,2,9,14,,,,1.0,,,,,1.0,1.0,,,,,,,,,
14,"Bardsley, Kristian",13,2,5,18,,,,1.0,,,,,1.0,,,,,,,,,,
2,"Brown, Tony",7,2,7,14,1,1.0,,,,,,,,,,,,,,,,,
3,"Burke, Nathan",22,4,7,29,1,1.0,,2.0,,,,,3.0,1.0,,,,,,,,,
36,"Cripps, Jason",2,,2,4,,,,,,,,,1.0,1.0,,,,,,,,,
34,"Daniels, Jayson",8,1,12,20,,,,3.0,,,,,4.0,3.0,,,,,,,,,
41,"Darcy, Anthony",1,1,7,8,,,,1.0,,,,,,,,,,,,,,,
28,"Elliott, Jamie",3,2,1,4,,,,,,,,,1.0,1.0,,,,,,,,,
10,"Everitt, Peter",7,6,7,14,1,,1.0,1.0,,,,,,3.0,,,,,,,,,
25,"Hall, Barry",2,2,3,5,,,,,,,,,,2.0,,,,,,,,,
35,"Harvey, Robert",12,2,12,24,1,1.0,,1.0,,,,,1.0,3.0,3.0,,,,,,,,
29,"Jones, Austinn",8,3,9,17,,3.0,,1.0,,,,,,,,,,,,,,,
17,"Keogh, Rod",14,5,10,24,,,,2.0,,,,,1.0,3.0,,,,,,,,,
22,"Lappin, Matthew",4,1,2,6,,,,,,,,,2.0,,,,,,,,,,
23,"Loewe, Stewart",14,10,2,16,3,5.0,1.0,3.0,,,,,1.0,3.0,,,,,,,,,
42,"McLean, Andrew",,,2,2,,,5.0,,,,,,,,,,,,,,,,
16,"Neill, Robert",12,2,4,16,2,,,2.0,,,,,1.0,,,,,,,,,,
1,"Peckett, Justin",8,4,3,11,,,,1.0,,,,,,2.0,,,,,,,,,
31,"Shanahan, Jamie",6,3,2,8,,,,1.0,,,,,,1.0,,,,,,,,,
13,"Sierakowski, David",1,,4,5,,,1.0,,,,,,1.0,1.0,,,,,,,,,
4,"Smith, Joel",6,2,10,16,,1.0,,,,,,,,,,,,,,,,,
9,"Vidovic, Lazar",4,3,2,6,,,3.0,,,,,,1.0,1.0,,,,,,,,,
15,"Wakelin, Darryl",1,1,6,7,,,1.0,,,,,,,,,,,,,,,,
12,"Wakelin, Shane",,,1,1,,,1.0,1.0,,,,,,,,,,,,,,,
20,"Young, Matthew",13,4,12,25,,,,2.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,62,141,314,9,13.0,13.0,23.0,,,,,20.0,27.0,3.0,,,,,,,,
Opposition,Opposition,201,79,96,297,13,11.0,22.0,36.0,,,,,27.0,20.0,3.0,,,,,,,,
