St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
28,"Ackland, Cain",24y 121d,47 (29-0-18 61.70%),19 (0.40),35 (21-0-14 60.00%),16 (0.46)
14,"Ball, Luke",22y 51d,78 (48-0-30 61.54%),43 (0.55),←,
3,"Clarke, Xavier",22y 290d,74 (38-1-35 52.03%),33 (0.45),←,
26,"Dal Santo, Nick",22y 143d,90 (49-1-40 55.00%),47 (0.52),←,
22,"Fiora, Aaron",25y 87d,103 (46-0-57 44.66%),40 (0.39),25 (13-0-12 52.00%),15 (0.60)
6,"Fisher, Leigh",22y 87d,18 (15-0-3 83.33%),2 (0.11),←,
25,"Fisher, Sam",24y 5d,43 (28-0-15 65.12%),3 (0.07),←,
9,"Gehrig, Fraser",30y 134d,227 (119-1-107 52.64%),448 (1.97),112 (56-0-56 50.00%),289 (2.58)
18,"Goddard, Brendon",21y 56d,75 (46-0-29 61.33%),22 (0.29),←,
15,"Gram, Jason",22y 79d,24 (13-0-11 54.17%),4 (0.17),22 (12-0-10 54.55%),4 (0.18)
35,"Harvey, Robert",34y 328d,332 (164-3-165 49.85%),196 (0.59),←,
8,"Hudghton, Max",29y 316d,187 (83-2-102 44.92%),14 (0.07),←,
31,"Maguire, Matt",22y 46d,82 (44-0-38 53.66%),19 (0.23),←,
32,"McQualter, Andrew",20y 36d,15 (7-0-8 46.67%),4 (0.27),←,
44,"Milne, Stephen",26y 129d,111 (51-1-59 46.40%),230 (2.07),←,
11,"Montagna, Leigh",22y 255d,44 (27-0-17 61.36%),34 (0.77),←,
1,"Peckett, Justin",33y 283d,245 (110-2-133 45.31%),48 (0.20),←,
17,"Powell, Stephen",29y 311d,137 (86-1-50 63.14%),94 (0.69),63 (40-0-23 63.49%),30 (0.48)
12,"Riewoldt, Nick",23y 271d,106 (51-1-54 48.58%),194 (1.83),←,
29,"Rix, Michael",25y 188d,5 (4-0-1 80.00%),1 (0.20),←,
4,"Thompson, Andrew",33y 267d,205 (94-2-109 46.34%),93 (0.45),←,
13,"Voss, Brett",28y 143d,151 (74-2-75 49.67%),55 (0.36),116 (55-1-60 47.84%),44 (0.38)
Totals,Totals,25y 298d,2399 (1226-17-1156 51.10%),1643 (0.68),,
C,"Thomas, Grant",48y 151d,115 (58-1-56 50.87%),,←,
