Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
23,"Bolton, Mark",26y 34d,89 (50-1-38 56.74%),35 (0.39),←,
16,"Bradley, Kepler",19y 175d,10 (2-0-8 20.00%),2 (0.20),←,
37,"Bullen, Marcus",22y 299d,42 (25-0-17 59.52%),9 (0.21),←,
31,"Fletcher, Dustin",30y,231 (156-3-72 68.18%),60 (0.26),←,
3,"Henneman, Aaron",24y 145d,55 (38-0-17 69.09%),5 (0.09),←,
14,"Johnson, Jason",27y 102d,136 (89-1-46 65.81%),84 (0.62),←,
1,"Johnson, Mark",26y 349d,137 (93-1-43 68.25%),54 (0.39),←,
26,"Laycock, Jason",20y 184d,9 (4-0-5 44.44%),6 (0.67),←,
18,"Lloyd, Matthew",27y 21d,194 (121-2-71 62.89%),707 (3.64),←,
41,"Lovett, Andrew",22y 177d,5 (2-0-3 40.00%),6 (1.20),←,
42,"Lovett-Murray, Nathan",22y 170d,23 (12-0-11 52.17%),21 (0.91),←,
25,"Lucas, Scott",27y 128d,188 (117-1-70 62.50%),270 (1.44),←,
33,"McPhee, Adam",22y 213d,77 (33-0-44 42.86%),37 (0.48),52 (27-0-25 51.92%),28 (0.54)
10,"McVeigh, Mark",24y 101d,106 (62-1-43 58.96%),42 (0.40),←,
28,"Murphy, Justin",29y 13d,174 (78-0-96 44.83%),148 (0.85),29 (15-0-14 51.72%),25 (0.86)
11,"Peverill, Damien",25y 299d,84 (47-1-36 56.55%),18 (0.21),←,
43,"Rioli, Dean",26y 352d,88 (60-1-27 68.75%),87 (0.99),←,
24,"Stanton, Brent",19y 6d,19 (7-0-12 36.84%),9 (0.47),←,
17,"Thomas, Paul",23y 1d,2 (0-0-2 0.00%),,←,
12,"Welsh, Andrew",22y 85d,66 (34-1-31 52.27%),6 (0.09),←,
8,"Winderlich, Jason",20y 209d,12 (4-0-8 33.33%),4 (0.33),←,
36,"Zantuck, Ty",23y 81d,72 (20-0-52 27.78%),20 (0.28),4 (1-0-3 25.00%),
Totals,Totals,24y 93d,1819 (1054-13-752 57.94%),1630 (0.90),,
C,"Sheedy, Kevin",57y 134d,576 (367-6-203 64.24%),,←,
