Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Greg",21,6,4,25,1,3.0,,3.0,,,,,,2.0,,,,,,,,,
8,"Bewick, Darren",8,1,7,15,1,1.0,,4.0,,,,,2.0,4.0,,,,,,,,,
23,"Cransberg, Peter",11,3,3,14,,,,,,,,,,2.0,,,,,,,,,
6,"Daniher, Anthony",8,4,3,11,,,,,,,,,4.0,,,,,,,,,,
7,"Daniher, Chris",11,3,5,16,,,,3.0,,,,,,1.0,,,,,,,,,
5,"Daniher, Terry",21,7,4,25,,,,,,,,,3.0,,,,,,,,,,
15,"Ezard, Alan",16,5,1,17,3,,,4.0,,,,,2.0,4.0,,,,,,,,,
29,"Grenvold, David",7,2,4,11,,,,3.0,,,,,1.0,1.0,,,,,,,,,
16,"Hamilton, Paul",3,5,5,8,,1.0,,1.0,,,,,,,,,,,,,,,
1,"Harvey, Mark",13,4,,13,3,1.0,,2.0,,,,,,3.0,,,,,,,,,
9,"Kickett, Derek",10,2,10,20,1,1.0,,1.0,,,,,1.0,,,,,,,,,,
4,"Long, Michael",9,2,6,15,1,,1.0,8.0,,,,,3.0,1.0,,,,,,,,,
27,"Madden, Simon",15,12,6,21,2,,10.0,3.0,,,,,1.0,2.0,,,,,,,,,
41,"Manning, Andrew",4,5,4,8,1,,,,,,,,1.0,1.0,,,,,,,,,
10,"ODonnell, Gary",13,2,3,16,,1.0,,5.0,,,,,2.0,,,,,,,,,,
3,"Salmon, Paul",13,9,4,17,2,1.0,6.0,,,,,,2.0,1.0,,,,,,,,,
17,"Sporn, Kieran",12,6,3,15,,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,
26,"Thompson, Mark",16,8,9,25,,,,2.0,,,,,2.0,,,,,,,,,,
18,"Vander Haar, Paul",6,5,3,9,2,,,1.0,,,,,1.0,2.0,,,,,,,,,
32,"Watson, Tim",16,6,6,22,1,,,1.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,233,97,90,323,18,13.0,17.0,43.0,,,,,26.0,27.0,,,,,,,,,
Opposition,Opposition,194,74,73,267,8,10.0,11.0,38.0,,,,,27.0,26.0,,,,,,,,,
