West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
31,"Banfield, Drew",19y 141d,1 (0-0-1 0.00%),,←,
14,"Brennan, Michael",28y 19d,132 (78-2-52 59.85%),15 (0.11),←,
32,"Clape, Matt",24y 51d,18 (13-0-5 72.22%),12 (0.67),←,
18,"Evans, Tony",24y 34d,29 (22-0-7 75.86%),25 (0.86),←,
23,"Harding, Paul",29y 44d,102 (54-2-46 53.92%),12 (0.12),29 (20-1-8 70.69%),3 (0.10)
1,"Heady, Brett",23y 195d,70 (47-2-21 68.57%),108 (1.54),←,
22,"Hynes, David",26y 109d,39 (27-1-11 70.51%),35 (0.90),←,
27,"Jakovich, Glen",20y 116d,54 (36-1-17 67.59%),18 (0.33),←,
5,"Lamb, Dwayne",31y 210d,145 (89-2-54 62.07%),44 (0.30),←,
3,"Mainwaring, Chris",27y 203d,130 (79-2-49 61.54%),59 (0.45),←,
30,"Matera, Peter",24y 106d,66 (48-1-17 73.48%),79 (1.20),←,
11,"McIntosh, Ashley",20y 271d,45 (34-0-11 75.56%),41 (0.91),←,
17,"McKenna, Guy",24y 68d,116 (72-1-43 62.50%),9 (0.08),←,
10,"Pyke, Don",24y 225d,70 (42-0-28 60.00%),35 (0.50),←,
4,"Sumich, Peter",25y 188d,99 (64-2-33 65.66%),384 (3.88),←,
39,"Waterman, Chris",24y 302d,85 (54-2-29 64.71%),47 (0.55),←,
37,"West, Robert",24y 133d,12 (7-0-5 58.33%),4 (0.33),←,
12,"White, Mitchell",20y 112d,38 (26-1-11 69.74%),5 (0.13),←,
9,"Wilson, Peter",29y 245d,123 (69-0-54 56.10%),98 (0.80),69 (52-0-17 75.36%),59 (0.86)
24,"Worsfold, John",24y 296d,132 (83-2-47 63.64%),16 (0.12),←,
Totals,Totals,24y 318d,1506 (944-21-541 62.68%),1046 (0.69),,
C,"Malthouse, Mick",39y 335d,226 (131-4-91 58.85%),,91 (64-2-25 71.43%),
