Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
44,"Bellchambers, Tom",21y 303d,20 (6-1-13 32.50%),8 (0.40),←,
45,"Crameri, Stewart",22y 271d,10 (4-1-5 45.00%),15 (1.50),←,
31,"Fletcher, Dustin",36y 1d,334 (198-5-131 60.03%),68 (0.20),←,
34,"Hardingham, Kyle",22y 249d,13 (6-1-6 50.00%),8 (0.62),←,
21,"Heppell, Dyson",18y 359d,7 (4-1-2 64.29%),,←,
19,"Hille, David",29y 340d,169 (78-1-90 46.45%),128 (0.76),←,
39,"Hocking, Heath",23y 132d,52 (21-2-29 42.31%),19 (0.37),←,
26,"Hooker, Cale",22y 207d,43 (15-1-27 36.05%),5 (0.12),←,
40,"Howlett, Ben",22y 199d,22 (9-1-12 43.18%),9 (0.41),←,
18,"Hurley, Michael",20y 341d,36 (13-2-21 38.89%),30 (0.83),←,
7,"Jetta, Leroy",22y 306d,46 (22-1-23 48.91%),30 (0.65),←,
14,"Lonergan, Sam",24y 43d,60 (25-2-33 43.33%),33 (0.55),←,
42,"Lovett-Murray, Nathan",28y 171d,118 (42-2-74 36.44%),62 (0.53),←,
10,"McVeigh, Mark",30y 102d,213 (101-4-108 48.36%),103 (0.48),←,
17,"Melksham, Jake",19y 252d,21 (7-1-13 35.71%),7 (0.33),←,
6,"Monfries, Angus",24y 109d,116 (42-3-71 37.50%),125 (1.08),←,
37,"Reimers, Kyle",22y 118d,43 (16-1-26 38.37%),47 (1.09),←,
30,"Ryder, Paddy",23y 55d,101 (40-3-58 41.09%),53 (0.52),←,
20,"Slattery, Henry",25y 106d,89 (32-2-55 37.08%),12 (0.13),←,
5,"Stanton, Brent",25y 7d,148 (55-3-90 38.18%),92 (0.62),←,
4,"Watson, Jobe",26y 89d,122 (48-3-71 40.57%),55 (0.45),←,
11,"Zaharakis, David",21y 76d,37 (16-1-20 44.59%),37 (1.00),←,
Totals,Totals,24y 108d,1820 (800-42-978 43.96%),946 (0.52),,
C,"Hird, James",38y 93d,7 (4-1-2 64.29%),,←,
