Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ambrose, Patrick",5,2,5,10,,,1.0,4.0,,,1.0,,1.0,,,2.0,6.0,,,,,1.0,80.0
12,"Baguley, Mark",8,4,7,15,,,,5.0,5.0,,,3.0,,1.0,,6.0,8.0,1.0,,5.0,,1.0,92.0
22,"Carlisle, Jake",12,7,3,15,,1.0,1.0,1.0,6.0,1.0,,2.0,1.0,,,3.0,11.0,2.0,,9.0,,,89.0
6 ↓,"Daniher, Joe",2,2,2,4,,,1.0,,,1.0,,2.0,,,,1.0,3.0,,,,,,55.0
15,"Dempsey, Courtenay",12,7,7,19,2,3.0,,1.0,,4.0,,2.0,,2.0,,6.0,14.0,1.0,3.0,,,2.0,89.0
19,"Edwards, Shaun",6,4,6,12,,1.0,,3.0,,2.0,,5.0,1.0,2.0,,8.0,6.0,,,1.0,,,87.0
46 ↑,"Fantasia, Orazio",7,1,4,11,2,,,2.0,,2.0,1.0,2.0,1.0,,,1.0,8.0,,,1.0,1.0,,33.0
35,"Gleeson, Martin",7,4,6,13,,,,3.0,1.0,3.0,2.0,1.0,1.0,,,7.0,8.0,1.0,,3.0,2.0,,80.0
9,"Goddard, Brendon",12,8,13,25,,,3.0,2.0,2.0,2.0,3.0,6.0,1.0,2.0,,9.0,18.0,,,1.0,,1.0,89.0
21,"Heppell, Dyson",15,2,10,25,3,1.0,,5.0,2.0,,5.0,3.0,1.0,1.0,2.0,11.0,14.0,,,1.0,,2.0,81.0
1,"Hibberd, Michael",14,5,6,20,,,,1.0,4.0,3.0,1.0,1.0,2.0,1.0,,6.0,15.0,1.0,,2.0,1.0,,90.0
39,"Hocking, Heath",8,,9,17,,,,1.0,1.0,5.0,4.0,1.0,1.0,,,9.0,7.0,,,1.0,,,84.0
26,"Hooker, Cale",10,6,10,20,3,1.0,,1.0,,1.0,,7.0,2.0,4.0,,8.0,13.0,1.0,1.0,2.0,,,95.0
40,"Howlett, Ben",12,5,12,24,,1.0,,3.0,,4.0,4.0,,1.0,,,11.0,13.0,,,,1.0,,83.0
18,"Hurley, Michael",17,6,9,26,,1.0,,,8.0,,,1.0,2.0,,,8.0,15.0,1.0,,6.0,,,97.0
33,"Laverde, Jayden",5,2,7,12,1,,,3.0,1.0,2.0,2.0,,,,,5.0,8.0,,1.0,1.0,,,78.0
44,"McKernan, Shaun",13,9,11,24,3,,26.0,1.0,1.0,5.0,5.0,2.0,,2.0,,11.0,14.0,2.0,,3.0,,1.0,86.0
17,"Melksham, Jake",10,3,8,18,,,,1.0,4.0,1.0,3.0,,,,,8.0,11.0,,,10.0,,,95.0
20,"Merrett, Jackson",6,2,5,11,,1.0,,2.0,2.0,,3.0,,1.0,,,6.0,5.0,,,,,1.0,71.0
10,"OBrien, Nick",12,4,19,31,,,,2.0,1.0,3.0,1.0,3.0,,,,8.0,23.0,,,1.0,,,75.0
5,"Stanton, Brent",17,3,10,27,,,,3.0,2.0,4.0,1.0,6.0,2.0,,,7.0,16.0,,,1.0,,,90.0
11,"Zaharakis, David",14,6,11,25,,,,6.0,3.0,7.0,1.0,5.0,,2.0,,7.0,19.0,,,,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,92,180,404,14,11.0,32.0,50.0,43.0,50.0,37.0,52.0,18.0,17.0,2.0,148.0,255.0,10.0,5.0,48.0,5.0,9.0,
Opposition,Opposition,209,86,129,338,14,13.0,38.0,70.0,34.0,61.0,37.0,54.0,17.0,18.0,4.0,147.0,192.0,13.0,19.0,51.0,8.0,10.0,
