Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",23y 186d,73 (17-1-55 23.97%),52 (0.71),←,
15,"Anderson, Noah",20y 179d,36 (10-1-25 29.17%),4 (0.11),←,
2,"Atkins, Rory",27y 34d,108 (64-1-43 59.72%),49 (0.45),7 (2-0-5 28.57%),2 (0.29)
10,"Ballard, Charlie",22y 23d,68 (16-1-51 24.26%),1 (0.01),←,
3,"Bowes, Jack",23y 201d,78 (19-1-58 25.00%),14 (0.18),←,
29,"Burgess, Chris",25y 262d,32 (9-0-23 28.13%),14 (0.44),←,
25,"Collins, Sam",27y 61d,58 (18-1-39 31.90%),,44 (15-1-28 35.23%),
19,"Corbett, Josh",25y 114d,31 (6-1-24 20.97%),28 (0.90),←,
50,"Farrar, Jy",24y 251d,10 (4-0-6 40.00%),1 (0.10),←,
8,"Fiorini, Brayden",23y 358d,61 (13-1-47 22.13%),20 (0.33),←,
40,"Jeffrey, Joel",19y 156d,3 (1-0-2 33.33%),2 (0.67),←,
34,"King, Ben",21y 39d,52 (12-1-39 24.04%),85 (1.63),←,
23,"Lemmens, Sean",26y 286d,113 (30-2-81 27.43%),25 (0.22),←,
13,"Lukosius, Jack",21y 6d,59 (15-1-43 26.27%),9 (0.15),←,
44,"Macpherson, Darcy",23y 290d,61 (14-0-47 22.95%),26 (0.43),←,
11,"Miller, Touk",25y 174d,137 (32-2-103 24.09%),39 (0.28),←,
27,"Powell, Wil",21y 354d,56 (16-1-39 29.46%),12 (0.21),←,
18,"Rowell, Matt",20y 45d,16 (6-0-10 37.50%),8 (0.50),←,
6,"Sexton, Alex",27y 255d,153 (40-0-113 26.14%),149 (0.97),←,
37,"Sharp, Jeremy",20y 2d,10 (3-0-7 30.00%),2 (0.20),←,
32,"Smith, Zac",31y 174d,123 (49-1-73 40.24%),54 (0.44),73 (15-0-58 20.55%),34 (0.47)
24,"Swallow, David",28y 269d,174 (45-1-128 26.15%),78 (0.45),←,
21,"Townsend, Jacob",28y 56d,62 (25-0-37 40.32%),44 (0.71),2 (1-0-1 50.00%),3 (1.50)
Totals,Totals,24y 116d,1574 (464-17-1093 29.48%),716 (0.45),,
C,"Dew, Stuart",41y 362d,82 (19-1-62 23.78%),,←,
