Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
12,"Baguley, Mark",28y 80d,68 (31-1-36 46.32%),2 (0.03),←,
22,"Carlisle, Jake",23y 312d,81 (39-0-42 48.15%),54 (0.67),←,
13,"Cooney, Adam",29y 313d,230 (107-2-121 46.96%),196 (0.85),11 (3-0-8 27.27%),10 (0.91)
6,"Daniher, Joe",21y 158d,44 (19-1-24 44.32%),65 (1.48),←,
15,"Dempsey, Courtenay",27y 346d,116 (52-3-61 46.12%),27 (0.23),←,
19,"Edwards, Shaun",21y 239d,18 (1-0-17 5.56%),9 (0.50),6 (1-0-5 16.67%),7 (1.17)
27,"Giles, Jonathan",27y 213d,53 (5-0-48 9.43%),40 (0.75),2 (0-0-2 0.00%),1 (0.50)
35,"Gleeson, Martin",20y 349d,27 (8-1-18 31.48%),4 (0.15),←,
9,"Goddard, Brendon",30y 81d,265 (156-4-105 59.62%),148 (0.56),60 (30-1-29 50.83%),44 (0.73)
42,"Gwilt, James",28y 363d,137 (68-3-66 50.73%),25 (0.18),11 (2-0-9 18.18%),
21,"Heppell, Dyson",23y 87d,102 (49-2-51 49.02%),30 (0.29),←,
1,"Hibberd, Michael",25y 218d,81 (40-1-40 50.00%),10 (0.12),←,
39,"Hocking, Heath",27y 225d,120 (58-3-59 49.58%),40 (0.33),←,
26,"Hooker, Cale",26y 300d,129 (57-2-70 44.96%),18 (0.14),←,
40,"Howlett, Ben",26y 292d,113 (56-2-55 50.44%),56 (0.50),←,
30,"Langford, Kyle",18y 251d,6 (1-0-5 16.67%),3 (0.50),←,
33,"Laverde, Jayden",19y 119d,5 (1-0-4 20.00%),3 (0.60),←,
20,"Merrett, Jackson",22y 163d,39 (20-0-19 51.28%),18 (0.46),←,
10,"OBrien, Nick",22y 44d,12 (3-0-9 25.00%),4 (0.33),←,
5,"Stanton, Brent",29y 100d,244 (103-4-137 43.03%),153 (0.63),←,
25,"Steinberg, Ariel",22y 348d,9 (3-0-6 33.33%),,←,
11,"Zaharakis, David",25y 169d,122 (60-2-60 50.00%),94 (0.77),←,
Totals,Totals,25y 18d,2021 (937-31-1053 46.36%),999 (0.49),,
C,"Hird, James",42y 186d,84 (41-1-42 49.40%),,←,
