Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Baldwin, Jason",18,5,5,23,2,,,2.0,,,,,2.0,,,,,,,,,,
18,"Blakey, John",13,4,18,31,,2.0,,,,,,,2.0,2.0,1.0,,,,,,,,
17,"Broderick, Paul",8,3,19,27,,1.0,,1.0,,,,,,,,,,,,,,,
50,"Caven, Peter",3,2,1,4,1,,,1.0,,,,,,,,,,,,,,,
16,"Cormack, Joe",13,5,6,19,2,4.0,,,,,,,,,,,,,,,,,
2,"Dundas, Matthew",7,1,12,19,1,1.0,,2.0,,,,,2.0,2.0,,,,,,,,,
54,"Elliott, Jamie",9,2,7,16,,,,2.0,,,,,,,,,,,,,,,
49,"Harding, Dean",4,4,7,11,1,,,1.0,,,,,,2.0,,,,,,,,,
6,"Ironmonger, John",9,4,10,19,4,,29.0,,,,,,1.0,1.0,3.0,,,,,,,,
21,"Kappler, Darren",13,4,10,23,1,1.0,,2.0,,,,,,2.0,,,,,,,,,
19,"Klaebe, Brenton",1,,2,3,,,,1.0,,,,,,,,,,,,,,,
11,"Lynch, Alastair",5,1,3,8,,,,1.0,,,,,,1.0,,,,,,,,,
29,"Lyon, Ross",11,4,9,20,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
5,"McCormack, Brendan",8,3,14,22,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
44,"Osborne, Richard",13,1,5,18,2,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,
28,"Paxman, Stephen",6,2,3,9,,,,2.0,,,,,,,,,,,,,,,
1,"Roos, Paul",20,8,9,29,1,,,1.0,,,,,1.0,,2.0,,,,,,,,
33,"Stephens, Brett",9,6,12,21,2,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
12,"Wheildon, Darren",6,6,4,10,3,,,,,,,,,,,,,,,,,,
8,"Wynd, Jim",17,4,8,25,1,,,2.0,,,,,3.0,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,69,164,357,22,16.0,31.0,23.0,,,,,16.0,17.0,6.0,,,,,,,,
Opposition,Opposition,209,55,92,301,21,21.0,16.0,18.0,,,,,17.0,16.0,,,,,,,,,
