Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Banik, Anthony",16,4,2,18,,,,,,,,,2.0,,,,,,,,,,
46,"Campbell, Wayne",10,3,10,20,,1.0,,,,,,,,1.0,,,,,,,,,
16,"Cloke, David",9,6,6,15,,,6.0,1.0,,,,,,3.0,,,,,,,,,
25,"Gale, Brendon",8,7,,8,,1.0,1.0,,,,,,,1.0,,,,,,,,,
24,"Goodwin, Andy",16,5,2,18,,,,1.0,,,,,2.0,3.0,,,,,,,,,
34,"Hogg, Jeff",10,5,3,13,5,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
2,"Keays, Terry",10,7,3,13,5,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,
33,"Knights, Matthew",22,5,9,31,1,1.0,,4.0,,,,,1.0,1.0,3.0,,,,,,,,
4,"Lambert, Craig",15,1,10,25,,,,4.0,,,,,2.0,2.0,2.0,,,,,,,,
26,"Leys, Brian",8,2,6,14,,,,1.0,,,,,3.0,2.0,,,,,,,,,
28,"McQueen, Mark",14,5,4,18,1,1.0,,2.0,,,,,1.0,,,,,,,,,,
6,"Naish, Chris",10,2,3,13,,1.0,,2.0,,,,,3.0,2.0,,,,,,,,,
22,"Nichols, Trent",1,,,1,1,,,1.0,,,,,,,,,,,,,,,
9,"Pickering, Justin",8,3,6,14,1,,,2.0,,,,,,4.0,,,,,,,,,
35,"Pickering, Michael",13,7,7,20,1,1.0,,1.0,,,,,,2.0,,,,,,,,,
21,"Powell, Tim",11,3,7,18,,,,1.0,,,,,2.0,,,,,,,,,,
32,"Ryan, Des",6,4,2,8,,,,,,,,,,1.0,,,,,,,,,
36,"Trewella, Mark",1,,1,2,,,,,,,,,1.0,1.0,,,,,,,,,
41,"Turner, Scott",3,,2,5,,,,,,,,,,,,,,,,,,,
3,"Weightman, Dale",20,11,8,28,1,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,211,80,91,302,16,17.0,7.0,24.0,,,,,20.0,27.0,5.0,,,,,,,,
Opposition,Opposition,215,75,111,326,12,17.0,19.0,12.0,,,,,27.0,20.0,1.0,,,,,,,,
