Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
14,"Armstrong, Matt",27y 82d,118 (50-0-68 42.37%),66 (0.56),←,
32,"Baldwin, Jason",24y 196d,80 (34-0-46 42.50%),18 (0.22),←,
34,"Boyd, Brad",22y 285d,22 (11-0-11 50.00%),14 (0.64),←,
31,"Dent, Matthew",22y 125d,1 (0-0-1 0.00%),,←,
18,"Dunstan, Michael",23y 71d,28 (13-0-15 46.43%),26 (0.93),←,
6,"Guard, Jeremy",23y 315d,46 (21-0-25 45.65%),12 (0.26),←,
17,"Hawking, Simon",21y 78d,15 (8-0-7 53.33%),,←,
2,"Johnson, Chris",17y 357d,3 (2-0-1 66.67%),3 (1.00),←,
29,"Lyon, Ross",27y 195d,117 (40-0-77 34.19%),109 (0.93),←,
30,"Manson, James",27y 201d,144 (79-3-62 55.90%),117 (0.81),24 (9-0-15 37.50%),11 (0.46)
25,"McCarthy, John",27y 53d,115 (48-1-66 42.17%),148 (1.29),23 (10-0-13 43.48%),47 (2.04)
11,"McGregor, Anthony",21y 321d,16 (8-0-8 50.00%),6 (0.38),←,
7,"Molloy, Jarrod",18y 10d,7 (3-0-4 42.86%),9 (1.29),←,
43,"Morton, Danny",20y 325d,5 (1-0-4 20.00%),2 (0.40),←,
1,"Roos, Paul",30y 329d,255 (108-0-147 42.35%),256 (1.00),←,
9,"Sartori, Peter",29y 210d,73 (39-0-34 53.42%),135 (1.85),19 (9-0-10 47.37%),16 (0.84)
21,"Sporn, Kieran",27y 267d,80 (46-1-33 58.13%),69 (0.86),8 (3-0-5 37.50%),4 (0.50)
22,"Stretch, Steven",30y 137d,172 (93-1-78 54.36%),74 (0.43),8 (3-0-5 37.50%),3 (0.38)
12,"Wheildon, Darren",23y 192d,59 (22-0-37 37.29%),139 (2.36),←,
8,"Wynd, Jim",29y 192d,123 (48-0-75 39.02%),59 (0.48),←,
16,"Zanotti, Mark",29y 195d,127 (40-0-87 31.50%),16 (0.13),27 (12-0-15 44.44%),5 (0.19)
Totals,Totals,25y 40d,1606 (714-6-886 44.46%),1278 (0.80),,
C,"Shaw, Robert",39y 136d,72 (26-0-46 36.11%),,←,
