Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
39,"Bailey, Max",26y 270d,37 (30-0-7 81.08%),9 (0.24),←,
22,"Breust, Luke",22y 251d,57 (47-0-10 82.46%),103 (1.81),←,
13,"Cheney, Kyle",23y 329d,32 (17-0-15 53.13%),2 (0.06),18 (15-0-3 83.33%),2 (0.11)
41,"Duryea, Taylor",22y 87d,13 (12-0-1 92.31%),,←,
6,"Gibson, Josh",29y 129d,139 (82-2-55 59.71%),2 (0.01),74 (53-1-20 72.30%),
18,"Guerra, Brent",31y 52d,248 (169-1-78 68.35%),106 (0.43),152 (100-1-51 66.12%),23 (0.15)
19,"Gunston, Jack",21y 277d,47 (32-0-15 68.09%),86 (1.83),33 (27-0-6 81.82%),66 (2.00)
20,"Hale, David",29y 59d,188 (102-2-84 54.79%),174 (0.93),59 (46-0-13 77.97%),55 (0.93)
10,"Hill, Bradley",20y 11d,20 (17-0-3 85.00%),14 (0.70),←,
15,"Hodge, Luke",29y 35d,220 (120-1-99 54.77%),154 (0.70),←,
17,"Lake, Brian",31y 143d,209 (101-2-106 48.80%),32 (0.15),12 (11-0-1 91.67%),
29,"Langford, Will",21y 17d,1 (1-0-0 100.00%),,←,
3,"Lewis, Jordan",27y 87d,185 (109-1-75 59.19%),101 (0.55),←,
28,"Puopolo, Paul",25y 230d,55 (45-0-10 81.82%),40 (0.73),←,
33,"Rioli, Cyril",24y 6d,114 (76-1-37 67.11%),154 (1.35),←,
2,"Roughead, Jarryd",26y 178d,175 (105-1-69 60.29%),344 (1.97),←,
21,"Savage, Shane",22y 196d,50 (36-0-14 72.00%),37 (0.74),←,
12,"Sewell, Brad",29y 168d,181 (106-1-74 58.84%),27 (0.15),←,
32,"Simpkin, Jonathan",25y 265d,15 (12-0-3 80.00%),7 (0.47),11 (10-0-1 90.91%),6 (0.55)
16,"Smith, Isaac",24y 202d,53 (44-0-9 83.02%),48 (0.91),←,
24,"Stratton, Ben",24y 141d,68 (48-1-19 71.32%),1 (0.01),←,
11,"Whitecross, Brendan",23y 176d,76 (50-1-25 66.45%),36 (0.47),←,
Totals,Totals,25y 200d,2183 (1361-14-808 62.35%),1477 (0.68),,
C,"Clarkson, Alastair",45y 84d,204 (121-1-82 59.56%),,←,
