Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Bontempelli, Marcus",18,8,10,28,,,,6.0,1.0,8.0,11.0,3.0,2.0,,3.0,17.0,13.0,2.0,,6.0,,1.0,90.0
17,"Bruce, Josh",3,4,8,11,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,6.0,5.0,2.0,1.0,3.0,,,87.0
12,"Cordy, Zaine",7,3,3,10,,,,,2.0,,1.0,1.0,,1.0,,4.0,6.0,1.0,,3.0,,,92.0
9,"Crozier, Hayden",12,5,1,13,,1.0,,,3.0,1.0,,3.0,,,,2.0,10.0,,1.0,7.0,,,82.0
35,"Daniel, Caleb",21,11,7,28,1,,,3.0,3.0,7.0,,4.0,,,2.0,5.0,21.0,,,1.0,,,88.0
5,"Dunkley, Josh",8,4,12,20,,1.0,,10.0,1.0,3.0,5.0,1.0,,,,9.0,13.0,1.0,,3.0,,1.0,83.0
15,"Duryea, Taylor",10,3,4,14,,,,6.0,2.0,1.0,2.0,2.0,2.0,,,9.0,5.0,1.0,,3.0,,,76.0
44,"English, Tim",5,4,3,8,2,,23.0,5.0,,1.0,3.0,1.0,,,,4.0,6.0,,1.0,4.0,,,87.0
43,"Gardner, Ryan",5,5,4,9,,,,3.0,1.0,,,1.0,,,,4.0,5.0,,,12.0,,,91.0
7,"Hunter, Lachie",9,5,10,19,,2.0,,3.0,1.0,2.0,,1.0,,1.0,,1.0,17.0,,1.0,2.0,,,96.0
39,"Johannisen, Jason",12,1,6,18,2,,,,1.0,4.0,,1.0,,,,4.0,14.0,,1.0,1.0,,2.0,83.0
42,"Keath, Alex",6,6,6,12,,,,2.0,3.0,1.0,,3.0,,1.0,,4.0,9.0,,,7.0,,,96.0
21,"Liberatore, Tom",12,4,16,28,,,,9.0,1.0,4.0,3.0,4.0,,1.0,,14.0,13.0,,,,,,84.0
11,"Macrae, Jack",15,1,13,28,,1.0,,4.0,1.0,3.0,2.0,2.0,1.0,,,9.0,19.0,,,2.0,,1.0,84.0
16,"McLean, Toby",1,,,1,1,,,,,,,,1.0,,,1.0,1.0,,,,,,5.0
33,"Naughton, Aaron",6,6,7,13,2,,,3.0,,,,1.0,1.0,1.0,,7.0,7.0,1.0,1.0,,,2.0,88.0
20,"Richards, Ed",6,3,10,16,,2.0,,1.0,,1.0,,2.0,,1.0,,8.0,9.0,,1.0,1.0,,,83.0
6,"Smith, Bailey",11,2,14,25,1,,,4.0,,1.0,3.0,4.0,,2.0,1.0,7.0,18.0,,,1.0,,,76.0
37,"Smith, Roarke",6,3,9,15,1,1.0,,1.0,1.0,,2.0,1.0,1.0,,,7.0,10.0,,1.0,3.0,,,84.0
1,"Suckling, Matt",6,3,3,9,,,,,,1.0,,1.0,,,,2.0,7.0,,1.0,1.0,,,69.0
3,"Wallis, Mitch",5,2,6,11,1,,,2.0,,,,,,,,5.0,6.0,1.0,,,,2.0,89.0
34,"Williams, Bailey",8,1,5,13,,,,1.0,4.0,3.0,,,1.0,,,2.0,11.0,,,1.0,,,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,84,157,349,11,10.0,24.0,65.0,26.0,42.0,34.0,36.0,10.0,8.0,6.0,131.0,225.0,9.0,9.0,61.0,,9.0,
Opposition,Opposition,140,58,131,271,6,4.0,47.0,71.0,30.0,33.0,25.0,33.0,8.0,10.0,,103.0,169.0,5.0,4.0,51.0,1.0,4.0,
