Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
36,"Blanck, James",4,2,3,7,,,,4.0,1.0,,,4.0,,1.0,,2.0,7.0,,,11.0,,,96.0
22,"Breust, Luke",5,3,5,10,,,,2.0,2.0,4.0,,4.0,1.0,,,3.0,7.0,,,1.0,1.0,1.0,72.0
12,"Day, Will",13,5,12,25,,,,2.0,7.0,,1.0,5.0,,1.0,,9.0,12.0,1.0,,1.0,,,76.0
24,"Grainger-Barras, Denver",7,6,3,10,,,,,3.0,,,1.0,1.0,1.0,,5.0,5.0,3.0,,7.0,1.0,,79.0
19,"Gunston, Jack",12,7,1,13,4,,,1.0,,1.0,,4.0,,1.0,,3.0,9.0,1.0,4.0,2.0,,,100.0
15,"Hardwick, Blake",21,14,5,26,,,,4.0,6.0,1.0,,2.0,,,,7.0,18.0,,,1.0,,,83.0
17,"Howe, Daniel",14,7,10,24,,,,3.0,2.0,,1.0,3.0,1.0,2.0,,7.0,14.0,1.0,,3.0,,,71.0
27,"Long, Ned",10,7,1,11,,,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,3.0,9.0,1.0,,1.0,,,74.0
18,"Lynch, Max",6,2,5,11,,,21.0,2.0,4.0,3.0,2.0,3.0,,,,7.0,5.0,1.0,,1.0,,1.0,80.0
31,"Macdonald, Connor",11,6,4,15,,,,,,5.0,,2.0,,,,2.0,13.0,,,,,1.0,80.0
32,"Maginness, Finn",4,1,5,9,,,,3.0,2.0,1.0,1.0,1.0,,,,4.0,5.0,,,2.0,,,94.0
7,"McEvoy, Ben",3,2,2,5,2,,21.0,,1.0,,1.0,2.0,1.0,1.0,,3.0,3.0,,1.0,5.0,,,94.0
3,"Mitchell, Tom",7,3,12,19,,,,7.0,2.0,1.0,4.0,1.0,2.0,,,13.0,9.0,,1.0,,,,72.0
13,"Moore, Dylan",13,10,6,19,2,1.0,,,,2.0,1.0,4.0,,1.0,,4.0,15.0,1.0,3.0,1.0,,,85.0
1,"Morrison, Harry",16,8,1,17,1,,,3.0,3.0,4.0,2.0,4.0,2.0,,,3.0,14.0,,,1.0,,,82.0
11,"Nash, Conor",9,5,7,16,,,,6.0,4.0,1.0,1.0,5.0,,,,7.0,9.0,,1.0,1.0,,,74.0
44,"Newcombe, Jai",10,3,6,16,,,,5.0,1.0,3.0,3.0,4.0,3.0,3.0,,7.0,8.0,,1.0,,,3.0,76.0
10,"OMeara, Jaeger",14,7,6,20,,1.0,,4.0,2.0,5.0,3.0,1.0,,,,12.0,8.0,2.0,1.0,,,1.0,80.0
43,"Saunders, Jack",3,1,4,7,1,,,1.0,,1.0,,1.0,1.0,,,2.0,5.0,,,,,1.0,75.0
14,"Scrimshaw, Jack",13,4,7,20,,1.0,,2.0,5.0,1.0,,3.0,,1.0,,6.0,11.0,,,4.0,2.0,,86.0
29,"Serong, Jai",,,,,,,,,,,,,,,,,,,,,,,
6,"Sicily, James",28,17,5,33,,,,2.0,9.0,3.0,,5.0,1.0,1.0,2.0,9.0,22.0,2.0,,3.0,,,98.0
25,"Ward, Josh",17,7,7,24,,,,5.0,1.0,2.0,,4.0,,3.0,,10.0,15.0,,,1.0,,1.0,73.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,240,127,117,357,10,4.0,42.0,57.0,58.0,39.0,21.0,65.0,14.0,17.0,2.0,128.0,223.0,13.0,12.0,46.0,4.0,9.0,
Opposition,Opposition,236,100,152,388,12,15.0,37.0,66.0,29.0,71.0,49.0,50.0,17.0,14.0,4.0,153.0,239.0,9.0,15.0,56.0,2.0,7.0,
