Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Amon, Karl",27y 359d,143 (79-0-64 55.24%),63 (0.44),19 (6-0-13 31.58%),8 (0.42)
36,"Blanck, James",22y 266d,22 (9-0-13 40.91%),,←,
22,"Breust, Luke",32y 275d,279 (170-2-107 61.29%),524 (1.88),←,
12,"Day, Will",22y 69d,52 (16-0-36 30.77%),9 (0.17),←,
24,"Grainger-Barras, Denver",21y 118d,27 (12-1-14 46.30%),3 (0.11),←,
15,"Hardwick, Blake",26y 189d,145 (63-2-80 44.14%),8 (0.06),←,
4,"Impey, Jarman",28y 35d,170 (80-0-90 47.06%),61 (0.36),95 (40-0-55 42.11%),27 (0.28)
23,"Koschitzke, Jacob",23y 33d,46 (16-2-28 36.96%),53 (1.15),←,
2,"Lewis, Mitch",24y 303d,66 (25-2-39 39.39%),120 (1.82),←,
42,"Macdonald, Bailey",19y 9d,2 (1-0-1 50.00%),,←,
31,"Macdonald, Connor",20y 212d,39 (14-0-25 35.90%),19 (0.49),←,
32,"Maginness, Finn",22y 171d,30 (11-0-19 36.67%),4 (0.13),←,
13,"Moore, Dylan",24y 9d,73 (24-1-48 33.56%),72 (0.99),←,
1,"Morrison, Harry",24y 274d,89 (36-1-52 41.01%),23 (0.26),←,
11,"Nash, Conor",25y 16d,71 (29-1-41 41.55%),16 (0.23),←,
3,"Newcombe, Jai",22y 11d,50 (18-2-30 38.00%),20 (0.40),←,
7,"Reeves, Ned",24y 286d,36 (14-1-21 40.28%),10 (0.28),←,
14,"Scrimshaw, Jack",24y 343d,81 (28-1-52 35.19%),10 (0.12),77 (28-1-48 37.01%),10 (0.13)
6,"Sicily, James",28y 219d,132 (65-1-66 49.62%),61 (0.46),←,
25,"Ward, Josh",19y 361d,28 (11-0-17 39.29%),4 (0.14),←,
37,"Weddle, Josh",19y 80d,15 (6-0-9 40.00%),4 (0.27),←,
20,"Wingard, Chad",30y 15d,218 (101-2-115 46.79%),300 (1.38),71 (25-1-45 35.92%),68 (0.96)
5,"Worpel, James",24y 201d,100 (39-2-59 40.00%),38 (0.38),←,
Totals,Totals,24y 120d,1914 (867-21-1026 45.30%),1422 (0.74),,
C,"Mitchell, Sam",40y 305d,43 (15-0-28 34.88%),,←,
