Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",16,1.0,17,33,,,,,,,,,2.0,,,,,,,,,,
35,"Baxter, Darren",15,3.0,5,20,,,,1.0,,,,,1.0,,,,,,,,,,
18,"Cameron, Leon",9,3.0,4,13,1.0,,,3.0,,,,,,,,,,,,,,,
1,"Charles, Justin",12,10.0,4,16,4.0,1.0,2.0,,,,,,,2.0,,,,,,,,,
20,"Coleman, Glenn",11,4.0,6,17,1.0,1.0,3.0,,,,,,2.0,3.0,,,,,,,,,
22,"Cullen, Mark",8,5.0,10,18,,2.0,,,,,,,1.0,3.0,,,,,,,,,
12,"Eppelstun, Greg",9,3.0,12,21,,,,1.0,,,,,1.0,,,,,,,,,,
45,"Ford, Michael",16,4.0,10,26,,,,,,,,,2.0,,,,,,,,,,
32,"Foster, Peter",14,9.0,5,19,,,,2.0,,,,,2.0,1.0,1.0,,,,,,,,
9,"Georgiades, John",8,4.0,2,10,1.0,,,,,,,,,3.0,,,,,,,,,
19,"Gow, Paul",7,2.0,2,9,,,,1.0,,,,,2.0,,,,,,,,,,
7,"Hawkins, Doug",10,3.0,2,12,2.0,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Hunter, Mark",12,4.0,5,17,,,,,,,,,2.0,1.0,,,,,,,,,
39,"Liberatore, Tony",13,,13,26,1.0,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
27,"Macpherson, Stephen",11,6.0,6,17,,,,,,,,,,2.0,,,,,,,,,
33,"Royal, Brian",7,1.0,9,16,,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,
16,"Wallace, Terry",7,1.0,7,14,1.0,,,1.0,,,,,3.0,2.0,,,,,,,,,
24,"Wallis, Stephen",10,6.0,16,26,,,,1.0,,,,,,2.0,,,,,,,,,
6,"Wigney, Stuart",12,6.0,3,15,1.0,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
15,"Wynd, Scott",7,10.0,13,20,,,7.0,,,,,,,2.0,,,,,,,,,
Totals,Totals,214,85.0,151,365,12.0,10.0,12.0,15.0,,,,,22.0,28.0,1.0,,,,,,,,
Opposition,Opposition,245,96.0,107,352,17.0,19.0,17.0,30.0,,,,,28.0,22.0,5.0,,,,,,,,
