Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Alvey, Mark",11,2,4,15,,,,2.0,2.0,3.0,1.0,2.0,,,,2.0,13.0,,,1.0,3.0,1.0,90.0
11,"Bandy, Daniel",4,5,5,9,,,2.0,1.0,,3.0,,5.0,,2.0,,1.0,8.0,1.0,,1.0,,,85.0
12,"Bassett, Scott",3,2,5,8,,,,4.0,2.0,,1.0,3.0,1.0,2.0,,4.0,4.0,,,7.0,,,100.0
20,"Bowden, Patrick",6,5,6,12,1,,1.0,,,4.0,,3.0,,,,4.0,8.0,,1.0,,,2.0,66.0
17,"Brown, Nathan",14,8,2,16,4,5.0,,,1.0,,1.0,5.0,2.0,2.0,,6.0,8.0,1.0,8.0,,,,100.0
16,"Croft, Matthew",5,2,3,8,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,4.0,5.0,,,,,,92.0
14,"Darcy, Luke",10,8,9,19,,,12.0,3.0,2.0,4.0,6.0,6.0,3.0,4.0,,10.0,13.0,1.0,,,2.0,,100.0
28,"Dimattina, Paul",9,5,10,19,,,,1.0,2.0,6.0,4.0,1.0,1.0,,,8.0,11.0,,,1.0,2.0,,76.0
10,"Eagleton, Nathan",2,3,5,7,,,,,,2.0,,2.0,1.0,,,1.0,7.0,,,,,,44.0
4,"Garlick, Simon",6,5,5,11,2,,,4.0,1.0,1.0,,2.0,1.0,1.0,,3.0,8.0,,3.0,1.0,2.0,,79.0
13,"Giansiracusa, Daniel",7,6,5,12,4,,,2.0,,,,,,,,3.0,9.0,,4.0,2.0,,,87.0
8,"Hahn, Mitch",2,4,7,9,,,,3.0,1.0,1.0,,,1.0,,,2.0,7.0,1.0,,3.0,,,60.0
25,"Hargrave, Ryan",4,1,5,9,,,,1.0,,,,3.0,2.0,2.0,,5.0,4.0,,,7.0,,,100.0
6,"Johnson, Brad",21,10,7,28,1,2.0,,1.0,4.0,9.0,3.0,4.0,2.0,1.0,,11.0,17.0,3.0,2.0,1.0,1.0,2.0,100.0
35,"Kretiuk, Steven",1,2,3,4,,,,1.0,,,,,,,,2.0,2.0,,,1.0,,,38.0
23,"McMahon, Jordan",4,,3,7,,2.0,,1.0,,4.0,2.0,,,,,2.0,5.0,,,,1.0,,56.0
2,"Murphy, Robert",13,5,9,22,2,,,,4.0,3.0,3.0,3.0,,,,11.0,11.0,2.0,1.0,3.0,4.0,2.0,100.0
15,"Power, Sam",4,2,5,9,,,,1.0,2.0,,,3.0,,2.0,,2.0,7.0,,,3.0,,,99.0
30,"Robbins, Matthew",12,3,5,17,,,,4.0,5.0,1.0,,3.0,,1.0,,2.0,14.0,,,3.0,1.0,,100.0
5,"Smith, Rohan",18,5,9,27,,,,,3.0,7.0,,1.0,1.0,1.0,,5.0,17.0,,,6.0,2.0,2.0,100.0
7,"West, Scott",10,3,13,23,,,,3.0,5.0,4.0,6.0,1.0,3.0,1.0,,9.0,14.0,,,1.0,3.0,1.0,95.0
21,"Wiggins, Patrick",,,,,,,,,,,,,,,,,,,,,,,33.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,166,86,125,291,14,11.0,15.0,33.0,35.0,54.0,27.0,48.0,19.0,19.0,,97.0,192.0,9.0,19.0,41.0,21.0,10.0,
Opposition,Opposition,201,110,109,310,20,7.0,31.0,38.0,37.0,57.0,34.0,42.0,19.0,19.0,6.0,114.0,199.0,18.0,19.0,19.0,12.0,8.0,
