Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
21,"Bell, Daniel",19y 354d,4 (2-0-2 50.00%),,←,
3,"Bizzell, Clint",28y 278d,135 (58-1-76 43.33%),79 (0.59),60 (26-0-34 43.33%),7 (0.12)
25,"Brown, Nathan",28y 231d,98 (48-0-50 48.98%),26 (0.27),←,
32,"Bruce, Cameron",25y 184d,109 (56-0-53 51.38%),137 (1.26),←,
36,"Davey, Aaron",21y 296d,21 (14-0-7 66.67%),34 (1.62),←,
35,"Ferguson, Ryan",23y 185d,19 (7-0-12 36.84%),2 (0.11),←,
18,"Green, Brad",24y 20d,106 (55-0-51 51.89%),157 (1.48),←,
16,"Johnstone, Travis",24y 259d,103 (50-0-53 48.54%),80 (0.78),←,
23,"McDonald, James",28y 179d,134 (64-0-70 47.76%),38 (0.28),←,
5,"McLean, Brock",19y 22d,11 (8-0-3 72.73%),5 (0.45),←,
7,"Miller, Brad",21y 270d,44 (21-0-23 47.73%),16 (0.36),←,
22,"Moloney, Brent",21y 64d,25 (14-1-10 58.00%),7 (0.28),2 (2-0-0 100.00%),1 (0.50)
9,"Neitz, David",30y 70d,249 (116-0-133 46.59%),497 (2.00),←,
8,"Nicholson, Alistair",27y 29d,97 (50-0-47 51.55%),3 (0.03),←,
43,"Rigoni, Guy",30y 249d,98 (50-0-48 51.02%),31 (0.32),←,
27,"Rivers, Jared",20y 166d,27 (15-0-12 55.56%),,←,
24,"Robertson, Russell",26y 129d,146 (72-0-74 49.32%),225 (1.54),←,
12,"Sylvia, Colin",19y 145d,5 (3-0-2 60.00%),1 (0.20),←,
31,"Wheatley, Paul",23y 355d,73 (41-0-32 56.16%),23 (0.32),←,
45,"Whelan, Matthew",25y 140d,90 (44-0-46 48.89%),9 (0.10),←,
34,"White, Jeff",28y 42d,186 (91-0-95 48.92%),82 (0.44),154 (78-0-76 50.65%),64 (0.42)
13,"Yze, Adem",27y 193d,212 (96-0-116 45.28%),162 (0.76),←,
Totals,Totals,24y 308d,1992 (975-2-1015 48.95%),1614 (0.81),,
C,"Daniher, Neale",44y 46d,165 (82-0-83 49.70%),,←,
