Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 222d,87 (42-2-43 49.43%),50 (0.57),←,
38,"Barrow, Gary",22y 196d,1 (1-0-0 100.00%),,←,
35,"Baxter, Darren",27y 135d,123 (60-3-60 50.00%),26 (0.21),←,
6,"Campbell, Tony",24y 354d,94 (53-0-41 56.38%),62 (0.66),19 (14-0-5 73.68%),1 (0.05)
20,"Coleman, Glenn",31y 180d,184 (101-2-81 55.43%),113 (0.61),59 (33-1-25 56.78%),49 (0.83)
11,"Corcoran, Shannon",21y 161d,11 (6-0-5 54.55%),,←,
40,"Cuzzupe, John",18y 295d,1 (1-0-0 100.00%),,←,
26,"Del-Re, Danny",24y 171d,39 (23-1-15 60.26%),84 (2.15),←,
29,"Grant, Chris",19y 232d,53 (30-1-22 57.55%),108 (2.04),←,
7,"Hawkins, Doug",32y 88d,282 (118-4-160 42.55%),191 (0.68),←,
46,"Kretiuk, Steven",20y 28d,7 (5-0-2 71.43%),3 (0.43),←,
39,"Liberatore, Tony",26y 172d,78 (45-1-32 58.33%),47 (0.60),←,
27,"Macpherson, Stephen",27y 243d,156 (77-3-76 50.32%),141 (0.90),←,
25,"Mansfield, Matthew",23y 38d,18 (13-0-5 72.22%),2 (0.11),←,
2,"Reynolds, Keenan",23y 207d,36 (21-0-15 58.33%),5 (0.14),←,
34,"Sexton, Ben",19y 277d,11 (7-1-3 68.18%),10 (0.91),←,
17,"Standfield, Barry",22y 170d,26 (16-0-10 61.54%),9 (0.35),←,
8,"Toohey, Bernard",29y 165d,240 (123-1-116 51.46%),112 (0.47),17 (13-0-4 76.47%),1 (0.06)
24,"Wallis, Stephen",27y 279d,195 (103-2-90 53.33%),49 (0.25),←,
15,"Wynd, Scott",22y 189d,74 (37-1-36 50.68%),11 (0.15),←,
Totals,Totals,24y 172d,1716 (882-22-812 51.40%),1023 (0.60),,
C,"Wheeler, Terry",37y 141d,63 (35-1-27 56.35%),,←,
