Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",24y 248d,113 (56-2-55 50.44%),67 (0.59),←,
38,"Barrow, Gary",23y 222d,6 (5-0-1 83.33%),1 (0.17),←,
19,"Beveridge, Luke",23y 5d,50 (29-0-21 58.00%),49 (0.98),8 (5-0-3 62.50%),8 (1.00)
18,"Cameron, Leon",20y 360d,61 (32-1-28 53.28%),26 (0.43),←,
31,"Darcy, Anthony",21y 159d,13 (5-0-8 38.46%),2 (0.15),12 (5-0-7 41.67%),2 (0.17)
29,"Grant, Chris",20y 258d,76 (42-1-33 55.92%),152 (2.00),←,
28,"Grgic, Ilija",21y 176d,9 (6-0-3 66.67%),19 (2.11),←,
7,"Hawkins, Doug",33y 115d,308 (132-4-172 43.51%),209 (0.68),←,
10,"Hunter, Mark",27y 359d,90 (43-2-45 48.89%),2 (0.02),←,
4,"Kellett, Nigel",23y 253d,56 (30-0-26 53.57%),21 (0.38),←,
35,"Kretiuk, Steven",21y 55d,17 (12-0-5 70.59%),3 (0.18),←,
39,"Liberatore, Tony",27y 198d,104 (59-1-44 57.21%),60 (0.58),←,
43,"Nicholson, Brad",19y 85d,5 (3-0-2 60.00%),1 (0.20),←,
22,"Quill, Peter",24y 5d,13 (7-0-6 53.85%),6 (0.46),←,
34,"Sexton, Ben",20y 303d,20 (11-1-8 57.50%),23 (1.15),←,
17,"Standfield, Barry",23y 196d,52 (30-0-22 57.69%),20 (0.38),←,
42,"Thorpe, Alan",24y 314d,7 (4-1-2 64.29%),9 (1.29),4 (3-0-1 75.00%),4 (1.00)
8,"Toohey, Bernard",30y 191d,263 (136-1-126 51.90%),115 (0.44),40 (26-0-14 65.00%),4 (0.10)
14,"West, Scott",18y 287d,17 (9-0-8 52.94%),21 (1.24),←,
15,"Wynd, Scott",23y 215d,98 (50-1-47 51.53%),13 (0.13),←,
Totals,Totals,23y 273d,1378 (701-15-662 50.87%),819 (0.59),,
C,"Wheeler, Terry",38y 168d,89 (49-1-39 55.62%),,←,
