Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
5,"Boyd, Matthew",28y 324d,179 (91-2-86 51.40%),62 (0.35),←,
17,"Cooney, Adam",25y 290d,167 (90-2-75 54.49%),145 (0.87),←,
4,"Cross, Daniel",28y 109d,174 (87-3-84 50.86%),27 (0.16),←,
40,"Dahlhaus, Luke",18y 330d,6 (4-0-2 66.67%),6 (1.00),←,
13,"Giansiracusa, Daniel",29y 128d,207 (98-4-105 48.31%),240 (1.16),←,
9,"Gilbee, Lindsay",30y 9d,201 (103-2-96 51.74%),118 (0.59),←,
1,"Grant, Jarrad",22y 11d,33 (18-0-15 54.55%),42 (1.27),←,
16,"Griffen, Ryan",24y 355d,137 (77-1-59 56.57%),94 (0.69),←,
28,"Hall, Barry",34y 159d,283 (145-3-135 51.77%),715 (2.53),33 (19-0-14 57.58%),104 (3.15)
7,"Higgins, Shaun",23y 135d,82 (44-1-37 54.27%),92 (1.12),←,
20,"Hill, Josh",22y 179d,65 (39-1-25 60.77%),75 (1.15),←,
41,"Hooper, Andrew",20y 180d,4 (3-0-1 75.00%),4 (1.00),←,
15,"Hudson, Ben",32y 143d,139 (85-1-53 61.51%),15 (0.11),84 (53-1-30 63.69%),9 (0.11)
19,"Jones, Liam",20y 143d,19 (9-0-10 47.37%),18 (0.95),←,
37,"Markovic, Lukas",24y 193d,11 (5-0-6 45.45%),,←,
38,"Morris, Dale",28y 200d,149 (85-2-62 57.72%),3 (0.02),←,
2,"Murphy, Robert",29y 38d,204 (93-4-107 46.57%),152 (0.75),←,
42,"Picken, Liam",24y 350d,59 (34-0-25 57.63%),20 (0.34),←,
11,"Reid, Sam",21y 252d,10 (6-0-4 60.00%),1 (0.10),←,
14,"Ward, Callan",21y 98d,54 (30-0-24 55.56%),28 (0.52),←,
12,"Williams, Tom",25y,71 (38-1-32 54.23%),4 (0.06),←,
29,"Wood, Easton",21y 316d,23 (13-0-10 56.52%),4 (0.17),←,
Totals,Totals,25y 146d,2277 (1197-27-1053 52.57%),1865 (0.82),,
C,"Eade, Rodney",53y 104d,311 (169-4-138 54.98%),,159 (88-2-69 55.97%),
