Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Boyd, Matthew",13,3,5,18,,,,7.0,1.0,3.0,2.0,,1.0,,,5,11,,,,,,78.0
17,"Cooney, Adam",14,6,9,23,1.0,,,8.0,,4.0,2.0,,,,,6,17,,,1.0,,,87.0
8,"Crameri, Stewart",7,3,3,10,1.0,,,1.0,,2.0,1.0,2.0,,,,5,4,,1.0,1.0,,,90.0
6,"Dahlhaus, Luke",15,3,10,25,1.0,3.0,,3.0,,5.0,1.0,3.0,1.0,1.0,,13,12,1.0,1.0,1.0,,,84.0
13 ↑,"Giansiracusa, Daniel",4,1,3,7,,,,1.0,,,1.0,1.0,,,,1,6,,,,,,20.0
16,"Griffen, Ryan",4,1,7,11,1.0,,,2.0,,1.0,2.0,,2.0,,,6,5,1.0,1.0,2.0,,,83.0
7,"Higgins, Shaun",6,3,6,12,,,,5.0,,3.0,1.0,1.0,,,,4,8,,,4.0,,,82.0
26,"Hunter, Lachie",11,4,7,18,,,,2.0,1.0,4.0,2.0,2.0,1.0,,,8,10,1.0,,1.0,1.0,,87.0
39,"Johannisen, Jason",7,2,4,11,,1.0,,2.0,1.0,2.0,1.0,3.0,,1.0,,4,9,,1.0,,,1.0,80.0
19,"Jones, Liam",5,4,2,7,1.0,,2.0,2.0,,1.0,1.0,5.0,2.0,2.0,,5,4,1.0,1.0,,,1.0,87.0
46,"Jong, Lin",7,2,5,12,,,,5.0,2.0,2.0,1.0,3.0,,,,4,7,,,2.0,,,72.0
21,"Liberatore, Tom",8,3,13,21,,,1.0,9.0,1.0,1.0,4.0,2.0,,2.0,,10,11,,,3.0,1.0,,88.0
11,"Macrae, Jack",14,7,8,22,1.0,,,,,3.0,1.0,2.0,,1.0,,2,19,,,1.0,1.0,,82.0
27,"Minson, Will",6,2,5,11,,,42.0,5.0,3.0,,7.0,,2.0,,,9,1,2.0,,4.0,,,90.0
38,"Morris, Dale",5,8,14,19,,,,,3.0,,,1.0,,,,4,15,,,3.0,,,99.0
2,"Murphy, Robert",15,3,10,25,,,,1.0,2.0,4.0,1.0,2.0,,,,6,18,,,4.0,2.0,1.0,86.0
42,"Picken, Liam",10,4,15,25,,,,1.0,3.0,1.0,1.0,1.0,1.0,,,5,20,,,2.0,1.0,,89.0
23,"Roughead, Jordan",6,7,6,12,,,,2.0,3.0,,1.0,1.0,,1.0,,3,9,1.0,,12.0,,,96.0
25,"Stevens, Koby",13,7,11,24,1.0,,,2.0,2.0,3.0,2.0,2.0,,,,8,14,1.0,1.0,1.0,,,75.0
9 ↓,"Stringer, Jake",5,3,2,7,1.0,2.0,,1.0,,1.0,,,,,,4,3,2.0,1.0,1.0,,1.0,72.0
3,"Wallis, Mitch",3,1,5,8,,,,2.0,,,,1.0,1.0,1.0,,3,5,,,,,,78.0
10,"Wood, Easton",8,6,10,18,,,,,4.0,2.0,,4.0,2.0,2.0,,8,10,1.0,,5.0,,,94.0
Totals,Totals,186,83,160,346,8.0,6.0,45.0,61.0,26.0,42.0,32.0,36.0,13.0,11.0,,123,218,11.0,7.0,48.0,6.0,4.0,
Opposition,Opposition,213,97,151,364,12.0,11.0,42.0,65.0,30.0,44.0,38.0,35.0,11.0,13.0,6.0,127,228,11.0,14.0,30.0,19.0,9.0,
