North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Ahern, Paul",21y 326d,3 (2-0-1 66.67%),,←,
3,"Anderson, Jed",24y 141d,37 (21-0-16 56.76%),15 (0.41),27 (14-0-13 51.85%),11 (0.41)
18,"Atley, Shaun",25y 283d,167 (87-0-80 52.10%),37 (0.22),←,
50,"Brown, Ben",25y 215d,90 (50-0-40 55.56%),194 (2.16),←,
10,"Cunnington, Ben",26y 358d,178 (94-0-84 52.81%),74 (0.42),←,
1,"Daw, Majak",27y 104d,41 (16-0-25 39.02%),30 (0.73),←,
14,"Dumont, Trent",22y 358d,52 (19-0-33 36.54%),18 (0.35),←,
22,"Goldstein, Todd",29y 357d,203 (105-1-97 51.97%),107 (0.53),←,
39,"Hartung, Billy",23y 150d,76 (51-1-24 67.76%),33 (0.43),13 (8-0-5 61.54%),6 (0.46)
4,"Higgins, Shaun",30y 111d,195 (94-1-100 48.46%),205 (1.05),66 (36-0-30 54.55%),77 (1.17)
8,"Hrovat, Nathan",24y 16d,56 (22-0-34 39.29%),29 (0.52),26 (8-0-18 30.77%),15 (0.58)
34,"Macmillan, Jamie",26y 273d,130 (69-0-61 53.08%),44 (0.34),←,
11,"McDonald, Luke",23y 134d,87 (47-0-40 54.02%),13 (0.15),←,
40,"Murphy, Tom",20y 155d,3 (2-0-1 66.67%),,←,
12,"Simpkin, Jy",20y 110d,26 (11-0-15 42.31%),17 (0.65),←,
25,"Tarrant, Robbie",29y 59d,117 (58-0-59 49.57%),43 (0.37),←,
16,"Thompson, Scott",32y 45d,213 (104-2-107 49.30%),7 (0.03),←,
28,"Turner, Kayne",22y 174d,49 (27-0-22 55.10%),36 (0.73),←,
2,"Williams, Marley",24y 336d,94 (48-0-46 51.06%),10 (0.11),26 (12-0-14 46.15%),4 (0.15)
32,"Wood, Mason",24y 283d,33 (17-0-16 51.52%),42 (1.27),←,
19,"Wright, Sam",27y 343d,123 (71-0-52 57.72%),58 (0.47),←,
7,"Ziebell, Jack",27y 115d,179 (88-0-91 49.16%),120 (0.67),←,
Totals,Totals,25y 202d,2152 (1103-5-1044 51.25%),1132 (0.53),,
C,"Scott, Brad",42y 51d,192 (99-0-93 51.56%),,←,
