Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",29y 305d,146 (84-0-62 57.53%),5 (0.03),82 (55-0-27 67.07%),
14,"Bergman, Miles",22y 262d,73 (47-0-26 64.38%),20 (0.27),←,
10,"Boak, Travis",35y 340d,361 (190-1-170 52.77%),204 (0.57),←,
7,"Burgoyne, Jase",20y 357d,26 (12-0-14 46.15%),3 (0.12),←,
9,"Butters, Zak",23y 302d,109 (67-0-42 61.47%),64 (0.59),←,
33,"Byrne-Jones, Darcy",28y 290d,189 (113-0-76 59.79%),43 (0.23),←,
28,"Drew, Willem",25y 279d,97 (60-0-37 61.86%),18 (0.19),←,
31,"Evans, Francis",22y 318d,24 (18-0-6 75.00%),15 (0.63),17 (11-0-6 64.71%),12 (0.71)
43,"Evans, Logan",18y 273d,3 (2-0-1 66.67%),1 (0.33),←,
6,"Farrell, Kane",25y 111d,87 (54-0-33 62.07%),45 (0.52),←,
11,"Finlayson, Jeremy",28y 148d,119 (70-3-46 60.08%),161 (1.35),53 (34-0-19 64.15%),71 (1.34)
19,"Georgiades, Mitch",22y 282d,62 (39-0-23 62.90%),92 (1.48),←,
18,"Horne-Francis, Jason",21y 15d,55 (28-0-27 50.91%),35 (0.64),38 (26-0-12 68.42%),31 (0.82)
5,"Houston, Dan",27y 55d,162 (102-0-60 62.96%),39 (0.24),←,
34,"Jones, Lachie",22y 88d,47 (27-0-20 57.45%),6 (0.13),←,
30,"Lord, Ollie",22y 186d,17 (11-0-6 64.71%),19 (1.12),←,
4,"Marshall, Todd",25y 272d,113 (74-0-39 65.49%),158 (1.40),←,
44,"Mead, Jackson",22y 280d,34 (19-0-15 55.88%),6 (0.18),←,
42,"Narkle, Quinton",26y 216d,48 (32-0-16 66.67%),24 (0.50),7 (5-0-2 71.43%),6 (0.86)
1,"Rozee, Connor",24y 166d,119 (74-0-45 62.18%),106 (0.89),←,
24,"Sweet, Jordon",26y 155d,18 (13-0-5 72.22%),3 (0.17),7 (4-0-3 57.14%),1 (0.14)
16,"Wines, Ollie",29y 273d,243 (144-0-99 59.26%),98 (0.40),←,
25,"Zerk-Thatcher, Brandon",25y 316d,67 (34-1-32 51.49%),,16 (10-0-6 62.50%),
Totals,Totals,25y 87d,2219 (1314-5-900 59.22%),1165 (0.53),,
C,"Hinkley, Ken",57y 280d,264 (158-0-106 59.85%),,←,
