Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
25,"Adams, Marcus",6,6,6,12,2,2.0,,3.0,2.0,2.0,,2.0,,,,8.0,4.0,3.0,2.0,2.0,,,87.0
4,"Bontempelli, Marcus",12,4,15,27,1,1.0,,9.0,2.0,4.0,6.0,5.0,1.0,3.0,3.0,14.0,13.0,1.0,2.0,1.0,2.0,,85.0
5,"Boyd, Matthew",11,4,12,23,,,,,3.0,1.0,,2.0,1.0,,,1.0,20.0,,,2.0,,,83.0
17,"Boyd, Tom",7,5,12,19,,,25.0,3.0,,6.0,5.0,3.0,1.0,1.0,,9.0,12.0,1.0,1.0,3.0,,1.0,87.0
12,"Cordy, Zaine",7,4,6,13,,,,2.0,3.0,1.0,,2.0,1.0,1.0,,4.0,7.0,,,6.0,1.0,,95.0
6,"Dahlhaus, Luke",14,5,17,31,,1.0,,5.0,2.0,7.0,3.0,4.0,3.0,,2.0,7.0,23.0,,1.0,,,,82.0
35,"Daniel, Caleb",11,4,9,20,,1.0,,2.0,1.0,3.0,2.0,1.0,2.0,,,7.0,14.0,,,3.0,,,84.0
20,"Dunkley, Josh",5,2,1,6,,,1.0,4.0,,1.0,,4.0,1.0,1.0,,2.0,7.0,1.0,1.0,1.0,,,71.0
7,"Hunter, Lachie",13,8,15,28,1,,,8.0,3.0,4.0,2.0,3.0,,,,9.0,19.0,,1.0,4.0,,,90.0
39,"Johannisen, Jason",17,3,7,24,,2.0,,3.0,6.0,5.0,1.0,2.0,1.0,1.0,,5.0,19.0,,,2.0,,1.0,75.0
46,"Jong, Lin",6,3,15,21,,,,2.0,,5.0,5.0,2.0,1.0,,,11.0,10.0,2.0,,2.0,,,79.0
21,"Liberatore, Tom",3,,19,22,,,,7.0,1.0,2.0,4.0,,,,,10.0,10.0,,,,,,86.0
11,"Macrae, Jack",13,1,17,30,,1.0,,4.0,1.0,,5.0,1.0,3.0,,,14.0,17.0,,,1.0,,,86.0
16,"McLean, Toby",4,2,16,20,1,1.0,,3.0,,3.0,3.0,1.0,,,,7.0,13.0,,1.0,1.0,1.0,,72.0
2,"Murphy, Robert",17,9,6,23,,,,2.0,1.0,4.0,,2.0,2.0,,,4.0,19.0,,,2.0,,,78.0
42,"Picken, Liam",13,5,5,18,1,1.0,,3.0,1.0,4.0,1.0,4.0,,,,5.0,12.0,,1.0,2.0,2.0,,90.0
18,"Roberts, Fletcher",6,3,4,10,,,1.0,1.0,2.0,,,,2.0,,,3.0,4.0,,,9.0,,,98.0
14,"Smith, Clay",8,4,7,15,4,,,4.0,,1.0,,5.0,,3.0,,6.0,9.0,,2.0,,,1.0,72.0
9,"Stringer, Jake",5,,2,7,1,,,,,1.0,,2.0,1.0,1.0,,3.0,3.0,,,1.0,,2.0,53.0
1,"Suckling, Matt",16,7,4,20,,2.0,,4.0,1.0,5.0,,2.0,2.0,,,5.0,15.0,,1.0,,,1.0,76.0
34,"Williams, Bailey",11,4,12,23,,1.0,,4.0,2.0,2.0,1.0,2.0,3.0,1.0,,8.0,17.0,1.0,,3.0,,2.0,79.0
10,"Wood, Easton",7,5,9,16,,,,1.0,1.0,1.0,,1.0,,1.0,,6.0,8.0,1.0,,10.0,1.0,,91.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,88,216,428,11,14.0,27.0,74.0,32.0,62.0,38.0,50.0,25.0,13.0,5.0,148.0,275.0,10.0,13.0,55.0,7.0,8.0,
Opposition,Opposition,200,91,151,351,11,9.0,50.0,67.0,48.0,47.0,34.0,56.0,13.0,25.0,1.0,145.0,200.0,22.0,11.0,41.0,6.0,10.0,
