Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Bowden, Patrick",9,3,4,13,,1.0,,2.0,1.0,5.0,1.0,,,,,7.0,6.0,,,4.0,,2.0,95.0
42,"Boyd, Matthew",11,9,10,21,,,,7.0,4.0,1.0,,1.0,1.0,,,7.0,15.0,,,1.0,1.0,,100.0
17,"Cooney, Adam",6,1,4,10,,1.0,,4.0,,3.0,2.0,,,,,4.0,6.0,,,1.0,1.0,,57.0
38,"Cross, Daniel",4,2,11,15,,,1.0,2.0,,3.0,1.0,,1.0,,,9.0,6.0,,,,,1.0,76.0
14,"Darcy, Luke",6,6,11,17,1,1.0,18.0,3.0,,2.0,5.0,2.0,2.0,1.0,,11.0,8.0,1.0,2.0,3.0,,5.0,100.0
10,"Eagleton, Nathan",20,10,7,27,3,1.0,,4.0,6.0,6.0,2.0,1.0,,,2.0,4.0,23.0,,,,1.0,,99.0
18,"Faulkner, Cameron",1,,,1,,,,1.0,,,,,,,,,1.0,,,2.0,,,27.0
13,"Giansiracusa, Daniel",17,7,11,28,2,,,4.0,,8.0,5.0,1.0,,,,10.0,17.0,3.0,1.0,1.0,,,92.0
3,"Grant, Chris",8,5,10,18,,,,2.0,4.0,,,2.0,,2.0,,7.0,11.0,,,2.0,,,97.0
8,"Hahn, Mitch",11,4,6,17,,1.0,,4.0,1.0,5.0,1.0,2.0,1.0,,,9.0,9.0,2.0,,5.0,,,86.0
25,"Hargrave, Ryan",3,1,,3,,,,1.0,,1.0,1.0,,,,,1.0,2.0,,,1.0,,,26.0
22,"Harrison, Ben",8,5,6,14,,,,,2.0,1.0,1.0,1.0,,,,6.0,7.0,1.0,,2.0,,,100.0
51,"Koops, Steven",8,3,6,14,,,,2.0,2.0,1.0,2.0,1.0,1.0,,,8.0,6.0,,,2.0,,1.0,68.0
36,"Lake, Brian",4,3,5,9,,,,,2.0,,,3.0,,1.0,,5.0,4.0,,,9.0,,,100.0
23,"McMahon, Jordan",7,2,3,10,,,,3.0,,,2.0,,,,,3.0,7.0,,,,,,78.0
2,"Murphy, Robert",13,2,5,18,,1.0,,2.0,10.0,1.0,1.0,1.0,1.0,,,5.0,11.0,,1.0,2.0,2.0,2.0,100.0
15,"Power, Sam",3,2,9,12,,,,4.0,,2.0,1.0,2.0,,,,3.0,9.0,,1.0,2.0,,1.0,79.0
24,"Rawlings, Jade",10,9,3,13,2,,,,,2.0,1.0,,,,,4.0,9.0,2.0,2.0,3.0,,1.0,100.0
30,"Robbins, Matthew",9,4,1,10,3,1.0,,1.0,4.0,1.0,,1.0,,,,3.0,6.0,1.0,3.0,2.0,1.0,,92.0
5,"Smith, Rohan",15,4,1,16,4,1.0,,1.0,1.0,3.0,,1.0,,,1.0,6.0,8.0,,2.0,1.0,1.0,,84.0
31,"Street, Peter",6,1,1,7,,,14.0,,4.0,2.0,3.0,3.0,1.0,2.0,,5.0,2.0,,,2.0,,,54.0
7,"West, Scott",19,8,21,40,,,,5.0,4.0,5.0,7.0,5.0,1.0,,3.0,14.0,26.0,,,3.0,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,91,135,333,15,13.0,33.0,52.0,45.0,52.0,36.0,27.0,9.0,6.0,6.0,131.0,199.0,10.0,12.0,48.0,7.0,13.0,
Opposition,Opposition,164,73,128,292,11,14.0,28.0,42.0,35.0,56.0,35.0,39.0,6.0,9.0,,118.0,180.0,10.0,7.0,54.0,12.0,6.0,
