St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
28,"Ackland, Cain",24y 162d,52 (33-0-19 63.46%),21 (0.40),40 (25-0-15 62.50%),18 (0.45)
10,"Baker, Steven",26y 95d,132 (61-1-70 46.59%),27 (0.20),←,
14,"Ball, Luke",22y 92d,84 (52-0-32 61.90%),43 (0.51),←,
16,"Clarke, Raphael",20y 335d,20 (13-0-7 65.00%),3 (0.15),←,
3,"Clarke, Xavier",22y 331d,77 (40-1-36 52.60%),33 (0.43),←,
26,"Dal Santo, Nick",22y 184d,96 (53-1-42 55.73%),51 (0.53),←,
6,"Fisher, Leigh",22y 128d,23 (18-0-5 78.26%),2 (0.09),←,
25,"Fisher, Sam",24y 46d,49 (32-0-17 65.31%),4 (0.08),←,
9,"Gehrig, Fraser",30y 175d,233 (123-1-109 53.00%),475 (2.04),118 (60-0-58 50.85%),316 (2.68)
18,"Goddard, Brendon",21y 97d,81 (50-0-31 61.73%),25 (0.31),←,
15,"Gram, Jason",22y 120d,30 (17-0-13 56.67%),9 (0.30),28 (16-0-12 57.14%),9 (0.32)
2,"Hamill, Aaron",29y 5d,188 (93-0-95 49.47%),239 (1.27),96 (44-0-52 45.83%),125 (1.30)
35,"Harvey, Robert",35y 4d,338 (168-3-167 50.15%),201 (0.59),←,
8,"Hudghton, Max",29y 357d,193 (87-2-104 45.60%),14 (0.07),←,
23,"Koschitzke, Justin",23y 339d,76 (38-0-38 50.00%),65 (0.86),←,
44,"Milne, Stephen",26y 170d,117 (55-1-61 47.44%),235 (2.01),←,
11,"Montagna, Leigh",22y 296d,50 (31-0-19 62.00%),39 (0.78),←,
1,"Peckett, Justin",33y 324d,251 (114-2-135 45.82%),49 (0.20),←,
17,"Powell, Stephen",29y 352d,141 (89-1-51 63.48%),94 (0.67),67 (43-0-24 64.18%),30 (0.45)
12,"Riewoldt, Nick",23y 312d,112 (55-1-56 49.55%),210 (1.88),←,
29,"Rix, Michael",25y 229d,9 (7-0-2 77.78%),1 (0.11),←,
13,"Voss, Brett",28y 184d,157 (78-2-77 50.32%),59 (0.38),122 (59-1-62 48.77%),48 (0.39)
Totals,Totals,25y 313d,2509 (1307-16-1186 52.09%),1899 (0.76),,
C,"Thomas, Grant",48y 192d,121 (62-1-58 51.65%),,←,
