Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
43,"Barlow, Ed",24y 134d,27 (9-2-16 37.04%),18 (0.67),1 (0-0-1 0.00%),
5,"Boyd, Matthew",28y 287d,174 (87-2-85 50.57%),61 (0.35),←,
4,"Cross, Daniel",28y 72d,169 (83-3-83 50.00%),26 (0.15),←,
40,"Dahlhaus, Luke",18y 293d,1 (0-0-1 0.00%),,←,
33,"Djerrkura, Nathan",22y 264d,8 (3-0-5 37.50%),2 (0.25),4 (1-0-3 25.00%),2 (0.50)
13,"Giansiracusa, Daniel",29y 91d,202 (94-4-104 47.52%),225 (1.11),←,
16,"Griffen, Ryan",24y 318d,132 (73-1-58 55.68%),84 (0.64),←,
7,"Higgins, Shaun",23y 98d,77 (40-1-36 52.60%),90 (1.17),←,
30,"Howard, Christian",20y 83d,3 (0-0-3 0.00%),,←,
15,"Hudson, Ben",32y 106d,134 (81-1-52 60.82%),15 (0.11),79 (49-1-29 62.66%),9 (0.11)
19,"Jones, Liam",20y 106d,14 (5-0-9 35.71%),15 (1.07),←,
21,"Liberatore, Tom",19y 25d,9 (3-0-6 33.33%),3 (0.33),←,
27,"Minson, Will",26y 60d,113 (62-1-50 55.31%),60 (0.53),←,
38,"Morris, Dale",28y 163d,144 (81-2-61 56.94%),3 (0.02),←,
31,"Mulligan, James",21y 361d,2 (0-0-2 0.00%),,←,
2,"Murphy, Robert",29y 1d,199 (89-4-106 45.73%),150 (0.75),←,
42,"Picken, Liam",24y 313d,54 (30-0-24 55.56%),19 (0.35),←,
10,"Sherman, Justin",24y 135d,125 (51-3-71 42.00%),98 (0.78),11 (3-0-8 27.27%),13 (1.18)
18,"Stack, Brennan",23y 15d,19 (11-0-8 57.89%),16 (0.84),←,
14,"Ward, Callan",21y 61d,49 (26-0-23 53.06%),24 (0.49),←,
12,"Williams, Tom",24y 328d,66 (34-1-31 52.27%),4 (0.06),←,
29,"Wood, Easton",21y 279d,18 (9-0-9 50.00%),3 (0.17),←,
Totals,Totals,24y 163d,1739 (871-25-843 50.09%),916 (0.53),,
C,"Eade, Rodney",53y 67d,306 (165-4-137 54.58%),,154 (84-2-68 55.19%),
