Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
21,"Barry, Leo",22y 46d,46 (27-0-19 58.70%),33 (0.72),←,
17,"Bomford, Andrew",24y 350d,20 (7-0-13 35.00%),6 (0.30),7 (2-0-5 28.57%),1 (0.14)
15,"Carey, Stefan",23y 160d,42 (23-1-18 55.95%),22 (0.52),←,
8,"Cresswell, Daryn",28y 43d,154 (63-1-90 41.23%),126 (0.82),←,
28,"Crouch, Jared",21y 121d,32 (17-0-15 53.13%),5 (0.16),←,
6,"Dunkley, Andrew",31y 5d,153 (63-2-88 41.83%),9 (0.06),←,
12,"Fosdike, Nic",19y 128d,10 (6-0-4 60.00%),8 (0.80),←,
37,"Goodes, Adam",19y 177d,14 (7-0-7 50.00%),12 (0.86),←,
14,"Kelly, Paul",29y 341d,189 (69-3-117 37.30%),155 (0.82),←,
3,"Lewis, Dale",30y 61d,154 (54-2-98 35.71%),167 (1.08),←,
4,"Lockett, Tony",33y 117d,269 (120-1-148 44.80%),1318 (4.90),86 (52-1-33 61.05%),420 (4.88)
34,"Luff, Troy",29y 224d,114 (53-2-59 47.37%),72 (0.63),←,
11,"Maxfield, Stuart",27y 86d,173 (87-2-84 50.87%),107 (0.62),84 (52-1-31 62.50%),42 (0.50)
13,"McPherson, Daniel",23y 364d,59 (34-1-24 58.47%),10 (0.17),←,
23,"Nicks, Matthew",24y 52d,64 (38-0-26 59.38%),25 (0.39),←,
16,"OConnor, Ryan",25y 7d,71 (35-3-33 51.41%),47 (0.66),8 (3-0-5 37.50%),
19,"OLoughlin, Michael",22y 134d,94 (55-1-38 59.04%),116 (1.23),←,
25,"Russell, Scott",29y 58d,196 (104-3-89 53.83%),115 (0.59),14 (7-0-7 50.00%),8 (0.57)
22,"Saddington, Jason",19y 254d,36 (20-0-16 55.56%),14 (0.39),←,
2,"Schwass, Wayne",30y 219d,220 (122-0-98 55.45%),124 (0.56),36 (21-0-15 58.33%),27 (0.75)
7,"Seymour, Brad",23y 62d,84 (44-1-39 52.98%),5 (0.06),←,
20,"Stevens, John",28y 19d,50 (30-0-20 60.00%),26 (0.52),←,
Totals,Totals,25y 270d,2244 (1078-23-1143 48.04%),2522 (1.12),,
C,"Eade, Rodney",41y 91d,86 (52-1-33 61.05%),,←,
