Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Bird, Craig",8,2,3,11,2,,,4.0,1.0,3.0,1.0,1.0,,,,4.0,6.0,,,1.0,,2.0,92.0
24,"Bolton, Jude",8,3,3,11,2,1.0,,2.0,,3.0,2.0,2.0,1.0,1.0,,5.0,6.0,1.0,2.0,,1.0,1.0,83.0
13,"Everitt, Andrejs",14,7,4,18,,,,3.0,5.0,5.0,,,1.0,,,6.0,12.0,2.0,,1.0,1.0,2.0,85.0
39,"Grundy, Heath",7,4,13,20,1,1.0,,1.0,1.0,2.0,,1.0,,1.0,,9.0,11.0,1.0,1.0,5.0,,,87.0
4,"Hannebery, Dan",9,1,13,22,,,,3.0,2.0,5.0,,1.0,,,,10.0,12.0,,,,1.0,1.0,87.0
33 ↑,"Jack, Brandon",1,,2,3,1,,,,,1.0,,,,,,3.0,,,,,,1.0,15.0
15,"Jack, Kieren",16,1,14,30,2,,,13.0,1.0,7.0,11.0,2.0,,1.0,3.0,15.0,15.0,,,2.0,1.0,1.0,83.0
12,"Kennedy, Josh",6,1,12,18,,1.0,,6.0,1.0,1.0,6.0,3.0,1.0,,,12.0,6.0,,,1.0,,,85.0
11,"Lamb, Jed",6,1,3,9,2,,,3.0,,2.0,1.0,,,,,3.0,6.0,1.0,1.0,,2.0,1.0,80.0
9,"Malceski, Nick",13,5,6,19,,,,,6.0,,2.0,2.0,1.0,1.0,,7.0,10.0,,,4.0,,,88.0
3,"McVeigh, Jarrad",17,3,13,30,,,,2.0,2.0,,1.0,2.0,,1.0,,12.0,17.0,,,1.0,,,97.0
6,"Mitchell, Tom",6,3,13,19,,1.0,,2.0,,2.0,1.0,4.0,2.0,2.0,,11.0,8.0,,,1.0,2.0,,73.0
41,"Mumford, Shane",7,2,7,14,2,,36.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,,9.0,5.0,1.0,,1.0,,,87.0
5,"OKeefe, Ryan",13,4,8,21,1,,1.0,7.0,2.0,6.0,8.0,3.0,2.0,2.0,,11.0,11.0,,,2.0,,,76.0
26,"Parker, Luke",13,4,8,21,1,,,9.0,4.0,4.0,2.0,3.0,,2.0,,7.0,14.0,,,,1.0,2.0,85.0
38,"Pyke, Mike",3,6,10,13,,,14.0,3.0,1.0,1.0,1.0,2.0,,,,7.0,5.0,4.0,,3.0,,1.0,86.0
43,"Rampe, Dane",16,7,4,20,,,,4.0,6.0,4.0,,1.0,,,,4.0,16.0,2.0,,3.0,,,87.0
25,"Richards, Ted",6,2,4,10,,,,1.0,5.0,1.0,,1.0,1.0,1.0,,5.0,5.0,,,11.0,,,100.0
2 ↓,"Shaw, Rhyce",7,2,3,10,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,6.0,,,1.0,3.0,1.0,61.0
40,"Smith, Nick",10,5,8,18,,,,6.0,3.0,1.0,1.0,,2.0,,,9.0,9.0,,,3.0,,,92.0
8,"Tippett, Kurt",10,8,5,15,6,,,1.0,,,1.0,,1.0,,1.0,8.0,8.0,2.0,4.0,1.0,,2.0,83.0
18,"White, Jesse",6,6,4,10,1,2.0,,2.0,,1.0,,,,,,6.0,4.0,3.0,1.0,,,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,77,160,362,21,8.0,51.0,79.0,43.0,54.0,43.0,31.0,14.0,14.0,4.0,167.0,192.0,17.0,9.0,41.0,12.0,15.0,
Opposition,Opposition,196,64,210,406,15,9.0,48.0,96.0,29.0,60.0,51.0,37.0,14.0,14.0,2.0,169.0,233.0,13.0,10.0,59.0,20.0,13.0,
