West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
16,"Adkins, Damien",24y 97d,48 (25-0-23 52.08%),30 (0.63),26 (16-0-10 61.54%),22 (0.85)
6,"Banfield, Drew",31y 48d,230 (131-3-96 57.61%),71 (0.31),←,
10,"Braun, Michael",27y 23d,141 (69-2-70 49.65%),46 (0.33),←,
26,"Butler, Sam",19y 92d,16 (12-0-4 75.00%),2 (0.13),←,
17,"Chick, Daniel",29y 65d,189 (98-4-87 52.91%),177 (0.94),40 (24-2-14 62.50%),18 (0.45)
9,"Cousins, Ben",26y 290d,188 (96-3-89 51.86%),162 (0.86),←,
20,"Cox, Dean",23y 258d,82 (40-1-41 49.39%),29 (0.35),←,
32,"Embley, Andrew",23y 293d,95 (46-1-48 48.95%),94 (0.99),←,
7,"Fletcher, Chad",25y 229d,102 (47-3-52 47.55%),50 (0.49),←,
23,"Glass, Darren",23y 337d,75 (34-2-39 46.67%),5 (0.07),←,
48,"Graham, Jaymie",22y 69d,2 (2-0-0 100.00%),3 (1.50),←,
29,"Hansen, Ashley",22y 44d,10 (8-0-2 80.00%),16 (1.60),←,
39,"Hunter, Adam",23y 302d,67 (33-2-32 50.75%),12 (0.18),←,
38,"Jones, Brett",22y 253d,12 (8-0-4 66.67%),,←,
3,"Judd, Chris",21y 220d,72 (39-2-31 55.56%),77 (1.07),←,
21,"Lynch, Quinten",22y 82d,37 (21-0-16 56.76%),26 (0.70),←,
33,"Matera, Phillip",29y 140d,164 (80-3-81 49.70%),355 (2.16),←,
28,"Sampi, Ashley",21y 85d,51 (27-2-22 54.90%),69 (1.35),←,
14,"Seaby, Mark",20y 350d,18 (12-0-6 66.67%),14 (0.78),←,
37,"Selwood, Adam",20y 350d,8 (4-0-4 50.00%),2 (0.25),←,
5,"Stenglein, Tyson",24y 274d,109 (59-0-50 54.13%),26 (0.24),3 (3-0-0 100.00%),
44,"Wirrpanda, David",25y 256d,131 (65-3-63 50.76%),61 (0.47),←,
Totals,Totals,24y 73d,1847 (956-31-860 51.76%),1327 (0.72),,
C,"Worsfold, John",36y 203d,73 (40-2-31 56.16%),,←,
