Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
31,"Alvey, Mark",22y 61d,38 (19-1-18 51.32%),22 (0.58),←,
11,"Bandy, Daniel",26y 265d,124 (41-1-82 33.47%),110 (0.89),19 (8-1-10 44.74%),30 (1.58)
40,"Birss, Shane",19y 152d,17 (8-1-8 50.00%),7 (0.41),←,
17,"Brown, Nathan",24y 181d,112 (60-2-50 54.46%),134 (1.20),←,
14,"Darcy, Luke",27y 29d,152 (79-3-70 52.96%),111 (0.73),←,
28,"Dimattina, Paul",27y 261d,107 (59-1-47 55.61%),46 (0.43),←,
4,"Garlick, Simon",27y 122d,151 (81-2-68 54.30%),117 (0.77),107 (57-2-48 54.21%),90 (0.84)
13,"Giansiracusa, Daniel",20y 152d,31 (13-1-17 43.55%),30 (0.97),←,
9,"Gilbee, Lindsay",21y 33d,22 (12-0-10 54.55%),9 (0.41),←,
3,"Grant, Chris",29y 240d,270 (141-5-124 53.15%),496 (1.84),←,
8,"Hahn, Mitch",21y 92d,26 (15-0-11 57.69%),3 (0.12),←,
33,"Hargrave, Ryan",21y 15d,16 (8-1-7 53.13%),3 (0.19),←,
25,"Hunter, Kingsley",27y 75d,97 (39-1-57 40.72%),114 (1.18),56 (25-1-30 45.54%),28 (0.50)
6,"Johnson, Brad",26y 23d,186 (95-4-87 52.15%),223 (1.20),←,
35,"Kretiuk, Steven",30y 37d,153 (87-3-63 57.84%),11 (0.07),←,
29,"McGuinness, Kieran",19y 33d,3 (0-1-2 16.67%),4 (1.33),←,
23,"McMahon, Jordan",19y 75d,16 (5-1-10 34.38%),8 (0.50),←,
2,"Murphy, Robert",20y 62d,35 (17-1-17 50.00%),7 (0.20),←,
27,"Penny, Luke",21y 183d,33 (15-0-18 45.45%),4 (0.12),←,
15,"Power, Sam",19y 39d,3 (2-0-1 66.67%),2 (0.67),←,
5,"Smith, Rohan",29y 71d,210 (110-4-96 53.33%),204 (0.97),←,
7,"West, Scott",27y 269d,209 (107-3-99 51.91%),83 (0.40),←,
Totals,Totals,23y 361d,2011 (1013-36-962 50.37%),1748 (0.87),,
C,"Wallace, Terry",43y 240d,146 (79-2-65 54.79%),,←,
