Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
12,"Akermanis, Jason",26y 62d,168 (105-4-59 63.69%),201 (1.20),130 (82-3-45 64.23%),157 (1.21)
10,"Ashcroft, Marcus",31y 214d,298 (141-5-152 48.15%),145 (0.49),146 (88-3-55 61.30%),61 (0.42)
20,"Black, Simon",24y 24d,105 (74-1-30 70.95%),79 (0.75),←,
36,"Bradshaw, Daniel",24y 157d,98 (60-2-36 62.24%),206 (2.10),95 (57-2-36 61.05%),206 (2.17)
17,"Brennan, Jared",18y 273d,2 (2-0-0 100.00%),3 (1.50),←,
16,"Brown, Jonathan",21y 180d,61 (48-0-13 78.69%),60 (0.98),←,
19,"Charman, Jamie",20y 285d,27 (21-1-5 79.63%),4 (0.15),←,
32,"Hart, Shaun",31y 345d,233 (119-3-111 51.72%),155 (0.67),131 (82-2-47 63.36%),74 (0.56)
2,"Johnson, Chris",26y 332d,181 (83-3-95 46.69%),140 (0.77),122 (76-3-43 63.52%),73 (0.60)
44,"Lappin, Nigel",26y 310d,199 (116-4-79 59.30%),138 (0.69),138 (84-3-51 61.96%),98 (0.71)
23,"Leppitsch, Justin",27y 208d,168 (98-4-66 59.52%),181 (1.08),124 (76-3-45 62.50%),123 (0.99)
43,"McDonald, Beau",23y 175d,69 (48-1-20 70.29%),17 (0.25),←,
9,"McGrath, Ashley",19y 342d,14 (11-1-2 82.14%),,←,
4,"McRae, Craig",29y 217d,158 (99-2-57 63.29%),190 (1.20),119 (78-2-39 66.39%),134 (1.13)
15,"Michael, Mal",25y 307d,115 (64-1-50 56.09%),26 (0.23),54 (43-1-10 80.56%),3 (0.06)
8,"Notting, Tim",24y 188d,79 (57-1-21 72.78%),63 (0.80),←,
13,"Pike, Martin",30y 164d,193 (111-1-81 57.77%),81 (0.42),52 (41-1-10 79.81%),22 (0.42)
6,"Power, Luke",23y 109d,89 (61-1-27 69.10%),115 (1.29),←,
5,"Scott, Brad",26y 359d,101 (60-2-39 60.40%),34 (0.34),79 (52-2-25 67.09%),28 (0.35)
22,"Scott, Chris",26y 359d,173 (104-3-66 60.98%),64 (0.37),118 (77-2-39 66.10%),41 (0.35)
3,"Voss, Michael",27y 294d,203 (120-2-81 59.61%),189 (0.93),124 (82-1-41 66.53%),117 (0.94)
33,"White, Darryl",29y 319d,227 (123-5-99 55.29%),160 (0.70),137 (84-3-50 62.41%),54 (0.39)
Totals,Totals,25y 320d,2961 (1725-47-1189 58.26%),2251 (0.76),,
C,"Matthews, Leigh",51y 57d,328 (200-6-122 61.89%),,104 (75-1-28 72.60%),
