Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Banfield, Todd",6,4,6,12,2,1.0,,4.0,,4.0,1.0,3.0,2.0,1.0,,7.0,6.0,,,1.0,2.0,,82.0
17,"Brennan, Jared",17,7,8,25,1,2.0,4.0,2.0,2.0,10.0,8.0,2.0,,,3.0,11.0,14.0,,1.0,4.0,4.0,1.0,82.0
16,"Brown, Jonathan",12,9,7,19,2,3.0,,1.0,,3.0,,4.0,,3.0,1.0,7.0,14.0,1.0,6.0,2.0,,,96.0
39,"Drummond, Josh",11,4,5,16,1,,,2.0,7.0,3.0,,2.0,1.0,1.0,,5.0,8.0,2.0,,3.0,2.0,1.0,86.0
5,"Fevola, Brendan",12,5,3,15,4,4.0,,,,3.0,,4.0,2.0,1.0,,9.0,5.0,3.0,4.0,,,1.0,97.0
12,"Hawksley, James",10,5,7,17,,,,3.0,3.0,1.0,,2.0,,,,7.0,11.0,,,6.0,,,83.0
4,"Johnstone, Travis",18,6,3,21,1,,,2.0,3.0,4.0,3.0,,,,,6.0,13.0,,1.0,5.0,1.0,,91.0
23,"Leuenberger, Matthew",9,3,5,14,,1.0,22.0,5.0,1.0,3.0,3.0,,,,,4.0,11.0,,,3.0,1.0,,76.0
36,"Maguire, Matt",4,4,3,7,,,2.0,3.0,,2.0,2.0,1.0,,1.0,,5.0,3.0,1.0,,2.0,,,39.0
21,"Merrett, Daniel",6,6,4,10,,,,3.0,3.0,1.0,,,,,,3.0,7.0,,,5.0,,,99.0
24,"Patfull, Joel",8,4,5,13,,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,7.0,5.0,1.0,1.0,8.0,,,94.0
31,"Polkinghorne, James",7,2,7,14,,,,4.0,,2.0,1.0,1.0,,1.0,,4.0,9.0,,,2.0,,,75.0
6,"Power, Luke",21,6,10,31,,1.0,,2.0,2.0,4.0,1.0,4.0,,,,10.0,21.0,,1.0,1.0,,,89.0
2,"Proud, Albert",7,4,12,19,1,2.0,,2.0,,1.0,1.0,2.0,1.0,1.0,,6.0,13.0,,1.0,3.0,1.0,2.0,66.0
29,"Raines, Andrew",10,4,14,24,,,,2.0,3.0,3.0,1.0,2.0,2.0,,,10.0,15.0,1.0,,,1.0,1.0,88.0
30,"Redden, Jack",10,5,4,14,,,,2.0,,5.0,1.0,5.0,2.0,2.0,,6.0,8.0,1.0,1.0,3.0,,,69.0
10,"Rich, Daniel",10,4,5,15,,,,2.0,,5.0,1.0,3.0,,3.0,,3.0,11.0,,,1.0,,,77.0
35,"Rischitelli, Michael",13,3,15,28,,,,4.0,,5.0,6.0,3.0,1.0,2.0,2.0,12.0,16.0,,,3.0,,,81.0
38,"Rockliff, Tom",9,5,11,20,,1.0,,4.0,,2.0,,3.0,,1.0,,5.0,16.0,,1.0,2.0,,1.0,81.0
28,"Selwood, Troy",7,4,9,16,,,,6.0,,1.0,,3.0,1.0,1.0,,5.0,9.0,,,1.0,,1.0,67.0
11,"Sherman, Justin",8,3,10,18,1,,,3.0,,4.0,2.0,1.0,1.0,1.0,,6.0,11.0,1.0,1.0,2.0,1.0,1.0,87.0
14,"Staker, Brent",7,4,7,14,,3.0,,3.0,,4.0,,1.0,,,,4.0,10.0,,1.0,2.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,101,160,382,13,23.0,28.0,61.0,25.0,72.0,32.0,48.0,14.0,20.0,6.0,142.0,236.0,11.0,19.0,59.0,13.0,9.0,
Opposition,Opposition,180,73,161,341,12,7.0,30.0,52.0,46.0,39.0,31.0,47.0,20.0,13.0,,132.0,203.0,9.0,9.0,41.0,7.0,8.0,
