Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",26y 330d,194 (124-2-68 64.43%),262 (1.35),2 (0-0-2 0.00%),
37,"Bennell, Harley",18y 189d,2 (0-0-2 0.00%),2 (1.00),←,
44,"Bock, Nathan",28y 20d,115 (60-0-55 52.17%),57 (0.50),2 (0-0-2 0.00%),
3,"Brennan, Jared",26y 255d,121 (55-3-63 46.69%),76 (0.63),2 (0-0-2 0.00%),1 (0.50)
30,"Brown, Campbell",27y 224d,161 (75-1-85 46.89%),64 (0.40),2 (0-0-2 0.00%),
27,"Coad, Michael",27y 208d,1 (0-0-1 0.00%),,←,
23,"Dixon, Charlie",20y 198d,2 (0-0-2 0.00%),2 (1.00),←,
47,"Gorringe, Daniel",18y 311d,1 (0-0-1 0.00%),1 (1.00),←,
5,"Harbrow, Jarrod",22y 265d,72 (40-1-31 56.25%),21 (0.29),2 (0-0-2 0.00%),
21,"Harris, Daniel",28y 334d,151 (72-2-77 48.34%),45 (0.30),2 (0-0-2 0.00%),1 (0.50)
7,"Hunt, Karmichael",24y 143d,2 (0-0-2 0.00%),,←,
14,"Krakouer, Nathan",22y 339d,42 (21-0-21 50.00%),7 (0.17),2 (0-0-2 0.00%),
6,"Magin, Alik",19y 361d,2 (0-0-2 0.00%),,←,
32,"Matera, Brandon",19y 29d,2 (0-0-2 0.00%),2 (1.00),←,
18,"McKenzie, Trent",19y 6d,2 (0-0-2 0.00%),,←,
41,"Prestia, Dion",18y 179d,2 (0-0-2 0.00%),,←,
35,"Rischitelli, Michael",25y 91d,113 (49-3-61 44.69%),47 (0.42),2 (0-0-2 0.00%),
2,"Smith, Zac",21y 46d,2 (0-0-2 0.00%),1 (0.50),←,
25,"Stanley, Danny",23y 50d,7 (1-0-6 14.29%),3 (0.43),2 (0-0-2 0.00%),3 (1.50)
24,"Swallow, David",18y 141d,2 (0-0-2 0.00%),,←,
48,"Tape, Seb",18y 246d,2 (0-0-2 0.00%),,←,
4,"Weller, Maverick",19y 55d,1 (0-0-1 0.00%),,←,
Totals,Totals,22y 199d,999 (497-12-490 49.75%),590 (0.59),,
C,"McKenna, Guy",41y 333d,2 (0-0-2 0.00%),,←,
