Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
30,"Adams, Taylor",18y 221d,1 (0-0-1 0.00%),1 (1.00),←,
47,"Bruce, Josh",19y 325d,1 (0-0-1 0.00%),1 (1.00),←,
14,"Bugg, Tomas",19y 23d,5 (0-0-5 0.00%),1 (0.20),←,
18,"Cameron, Jeremy",19y 27d,4 (0-0-4 0.00%),9 (2.25),←,
3,"Coniglio, Stephen",18y 135d,4 (0-0-4 0.00%),,←,
1,"Davis, Phil",21y 242d,23 (11-0-12 47.83%),2 (0.09),5 (0-0-5 0.00%),1 (0.20)
22,"Edwards, Shaun",18y 137d,2 (0-0-2 0.00%),1 (0.50),←,
4,"Folau, Israel",23y 25d,5 (0-0-5 0.00%),1 (0.20),←,
26,"Giles, Jonathan",24y 111d,5 (0-0-5 0.00%),6 (1.20),←,
35,"Greene, Toby",18y 216d,4 (0-0-4 0.00%),,←,
2,"Hampton, Curtly",19y 49d,5 (0-0-5 0.00%),5 (1.00),←,
36,"Hombsch, Jack",19y 52d,5 (0-0-5 0.00%),,←,
38,"McDonald, James",35y 206d,254 (103-1-150 40.75%),57 (0.22),3 (0-0-3 0.00%),1 (0.33)
6,"Power, Luke",32y 111d,286 (152-3-131 53.67%),226 (0.79),4 (0-0-4 0.00%),
23,"Reid, Sam",22y 173d,11 (6-0-5 54.55%),1 (0.09),1 (0-0-1 0.00%),
9,"Scully, Tom",20y 349d,35 (13-1-21 38.57%),6 (0.17),4 (0-0-4 0.00%),
5,"Shiel, Dylan",19y 50d,5 (0-0-5 0.00%),,←,
34,"Smith, Devon",18y 344d,5 (0-0-5 0.00%),1 (0.20),←,
20,"Tomlinson, Adam",18y 262d,4 (0-0-4 0.00%),1 (0.25),←,
31,"Townsend, Jacob",18y 313d,5 (0-0-5 0.00%),1 (0.20),←,
17,"Treloar, Adam",19y 50d,3 (0-0-3 0.00%),1 (0.33),←,
8,"Ward, Callan",22y 18d,65 (32-0-33 49.23%),36 (0.55),5 (0-0-5 0.00%),3 (0.60)
Totals,Totals,21y 90d,737 (317-5-415 43.01%),357 (0.48),,
C,"Sheedy, Kevin",64y 126d,639 (386-6-247 60.88%),,5 (0-0-5 0.00%),
