Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
7,"Allan, Ben",28y 200d,134 (76-0-58 56.72%),96 (0.72),36 (14-0-22 38.89%),24 (0.67)
44,"Bandy, Daniel",21y 166d,22 (9-0-13 40.91%),19 (0.86),←,
21,"Black, Heath",17y 340d,3 (1-0-2 33.33%),3 (1.00),←,
42,"Callaghan, Craig",21y 55d,33 (9-0-24 27.27%),16 (0.48),←,
31,"Clement, James",20y 241d,18 (6-0-12 33.33%),1 (0.06),←,
41,"Clucas, Matthew",19y 46d,1 (0-0-1 0.00%),,←,
30,"Delaney, Tony",21y 127d,38 (14-1-23 38.16%),18 (0.47),23 (9-0-14 39.13%),9 (0.39)
37,"Gale, Mark",20y 361d,8 (3-0-5 37.50%),4 (0.50),←,
3,"Harding, Greg",20y 228d,24 (9-0-15 37.50%),,←,
11,"Kickett, Dale",28y 364d,93 (41-0-52 44.09%),47 (0.51),47 (18-0-29 38.30%),7 (0.15)
36,"Leach, Quenton",24y 256d,38 (14-0-24 36.84%),17 (0.45),←,
17,"Madigan, Greg",27y 99d,63 (35-0-28 55.56%),6 (0.10),23 (8-0-15 34.78%),2 (0.09)
43,"McGovern, Andrew",29y 26d,49 (16-1-32 33.67%),8 (0.16),29 (12-0-17 41.38%),1 (0.03)
25,"Norrish, Jason",25y 97d,60 (27-0-33 45.00%),7 (0.12),40 (15-0-25 37.50%),5 (0.13)
10,"OReilly, Stephen",24y 175d,84 (37-0-47 44.05%),9 (0.11),48 (16-0-32 33.33%),4 (0.08)
5,"Parker, Daniel",22y 343d,7 (3-0-4 42.86%),10 (1.43),←,
23,"Parker, Shane",24y 74d,29 (11-0-18 37.93%),3 (0.10),←,
1,"Toia, Luke",19y 161d,17 (6-0-11 35.29%),12 (0.71),←,
26,"Waterhouse, Clive",22y 314d,14 (5-0-9 35.71%),15 (1.07),←,
34,"White, Jeff",20y 73d,25 (10-0-15 40.00%),16 (0.64),←,
4,"Wills, Andrew",25y 120d,94 (55-0-39 58.51%),88 (0.94),35 (15-0-20 42.86%),45 (1.29)
Totals,Totals,23y 62d,854 (387-2-465 45.32%),395 (0.46),,
C,"Neesham, Gerard",42y 143d,50 (18-0-32 36.00%),,←,
