Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartel, Jimmy",16,7,5,21,1,,,3.0,2.0,2.0,4.0,5.0,1.0,2.0,,11.0,11.0,1.0,,2.0,,,89.0
35,"Chapman, Paul",14,7,9,23,1,,,3.0,3.0,2.0,1.0,,2.0,,,5.0,18.0,,,1.0,,,92.0
28 ↑,"Christensen, Allen",2,3,6,8,,,,1.0,1.0,,1.0,1.0,,1.0,,2.0,6.0,,,,,,27.0
11,"Corey, Joel",15,1,12,27,,,,2.0,,7.0,4.0,4.0,2.0,2.0,2.0,10.0,17.0,,,1.0,,1.0,88.0
22,"Duncan, Mitch",11,7,6,17,1,,,5.0,1.0,3.0,1.0,4.0,2.0,2.0,,6.0,10.0,1.0,1.0,,1.0,,83.0
44,"Enright, Corey",16,7,12,28,,,,4.0,4.0,2.0,,2.0,,1.0,,9.0,18.0,,,7.0,3.0,,91.0
29 ↓,"Guthrie, Cameron",3,2,5,8,,,,3.0,1.0,,1.0,,,,,3.0,4.0,,,1.0,,,65.0
26,"Hawkins, Tom",5,2,4,9,,,3.0,1.0,,2.0,1.0,2.0,1.0,2.0,,5.0,3.0,2.0,,2.0,,2.0,81.0
8,"Hunt, Josh",9,7,7,16,,,,2.0,2.0,,,3.0,,,,1.0,14.0,,,3.0,,,79.0
19,"Hunt, Taylor",8,4,7,15,,,,3.0,3.0,4.0,1.0,3.0,1.0,,,4.0,11.0,,,3.0,1.0,,86.0
20,"Johnson, Steve",19,6,5,24,1,3.0,,3.0,1.0,5.0,3.0,2.0,2.0,2.0,3.0,9.0,14.0,,2.0,,1.0,2.0,89.0
9,"Kelly, James",11,2,11,22,,1.0,,9.0,2.0,1.0,3.0,7.0,1.0,5.0,,9.0,13.0,,,,,,88.0
45,"Ling, Cameron",12,6,17,29,1,1.0,,6.0,2.0,3.0,2.0,3.0,1.0,2.0,,10.0,21.0,1.0,,2.0,,,81.0
4,"Mackie, Andrew",12,7,9,21,,,,2.0,6.0,3.0,,4.0,1.0,,,4.0,17.0,,,3.0,2.0,,91.0
10,"Menzel, Daniel",12,9,,12,3,2.0,,2.0,,,,2.0,1.0,1.0,,5.0,7.0,3.0,4.0,,,1.0,76.0
39,"Milburn, Darren",10,5,7,17,,,,2.0,2.0,,1.0,2.0,,1.0,,7.0,10.0,1.0,,5.0,1.0,,92.0
6,"Ottens, Brad",2,3,15,17,,1.0,15.0,2.0,,2.0,4.0,3.0,2.0,3.0,,12.0,4.0,2.0,2.0,6.0,,1.0,83.0
31,"Podsiadly, James",1,,1,2,1,,,3.0,,,,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,85.0
27,"Stokes, Mathew",11,4,11,22,2,,,3.0,1.0,1.0,,,3.0,,,6.0,17.0,,2.0,1.0,,,79.0
7,"Taylor, Harry",8,5,3,11,,,,1.0,3.0,1.0,,3.0,,2.0,,,9.0,,,7.0,,,93.0
5,"Varcoe, Travis",14,5,8,22,2,,,2.0,2.0,5.0,1.0,,,,,4.0,17.0,,1.0,2.0,1.0,,78.0
40,"Wojcinski, David",8,7,9,17,,1.0,,1.0,,4.0,1.0,3.0,,1.0,,8.0,11.0,1.0,1.0,1.0,2.0,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,219,106,169,388,13,11.0,18.0,63.0,36.0,47.0,29.0,54.0,21.0,28.0,5.0,132.0,253.0,12.0,13.0,48.0,12.0,7.0,
Opposition,Opposition,202,99,145,347,10,18.0,42.0,46.0,28.0,55.0,39.0,55.0,28.0,20.0,1.0,139.0,205.0,21.0,12.0,37.0,8.0,7.0,
