Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9 ↓,"Acres, Blake",21,5,3,24,1,,,3.0,5.0,4.0,3.0,6.0,1.0,,,7.0,16.0,,,5.0,,,75.0
11,"Aish, James",13,7,12,25,1,,,,,4.0,2.0,2.0,1.0,1.0,,6.0,18.0,,1.0,2.0,,,82.0
41,"Banfield, Bailey",4,2,3,7,2,,,2.0,,2.0,,2.0,,1.0,,4.0,3.0,,,1.0,,,69.0
8,"Brayshaw, Andrew",18,6,19,37,1,,,6.0,5.0,1.0,2.0,3.0,1.0,,3.0,4.0,32.0,,,4.0,,,83.0
17,"Brodie, Will",8,,14,22,,1.0,,8.0,,2.0,1.0,2.0,1.0,,,7.0,14.0,,,2.0,,1.0,67.0
6,"Clark, Jordan",16,8,9,25,,1.0,,5.0,3.0,2.0,2.0,3.0,,2.0,,3.0,23.0,,,1.0,,,80.0
33,"Colyer, Travis",7,2,2,9,2,1.0,,4.0,1.0,2.0,,,,,,1.0,5.0,,,,,,69.0
36,"Cox, Brennan",16,12,5,21,,,,1.0,5.0,1.0,,,,,,5.0,15.0,2.0,,8.0,,,89.0
4,"Darcy, Sean",3,1,13,16,,,36.0,2.0,,1.0,6.0,4.0,,1.0,,14.0,2.0,1.0,,2.0,,1.0,80.0
7,"Fyfe, Nat",6,1,16,22,1,2.0,,2.0,,2.0,6.0,2.0,1.0,1.0,,10.0,11.0,1.0,1.0,1.0,,1.0,81.0
15,"Hughes, Ethan",13,7,9,22,,,,1.0,6.0,,,5.0,1.0,3.0,,6.0,18.0,,,6.0,,,81.0
37,"Lobb, Rory",9,5,6,15,1,1.0,10.0,2.0,,3.0,3.0,3.0,,1.0,,6.0,10.0,1.0,2.0,3.0,,,96.0
2,"Logue, Griffin",5,5,9,14,,2.0,,6.0,,1.0,,2.0,2.0,,,7.0,7.0,1.0,1.0,2.0,1.0,2.0,87.0
16,"Mundy, David",9,4,14,23,,1.0,,2.0,3.0,3.0,1.0,,,,,4.0,19.0,,,,,,71.0
25,"Pearce, Alex",7,2,,7,,,,4.0,1.0,,,,1.0,,,4.0,5.0,,,7.0,,,96.0
13,"Ryan, Luke",21,10,6,27,,,,3.0,8.0,2.0,1.0,5.0,1.0,2.0,,10.0,16.0,,,3.0,2.0,,87.0
5,"Schultz, Lachie",7,2,10,17,2,,,2.0,,2.0,,4.0,2.0,1.0,,10.0,8.0,,,,,,85.0
3,"Serong, Caleb",8,1,25,33,,,,4.0,1.0,4.0,6.0,2.0,2.0,1.0,,20.0,15.0,,,2.0,,1.0,77.0
39,"Switkowski, Sam",5,,12,17,,,,5.0,,4.0,,1.0,,,,5.0,10.0,,,2.0,,2.0,84.0
18 ↑,"Tucker, Darcy",3,3,3,6,,,,,1.0,1.0,,,,,,1.0,5.0,1.0,,,,,9.0
31,"Walker, Brandon",8,2,8,16,1,,,6.0,2.0,,1.0,3.0,3.0,3.0,,5.0,11.0,,,,,,85.0
10,"Walters, Michael",9,6,13,22,2,1.0,,2.0,,1.0,,,,,,4.0,17.0,,1.0,,,1.0,86.0
26,"Young, Hayden",21,10,10,31,,,,3.0,6.0,5.0,3.0,2.0,,2.0,2.0,11.0,19.0,1.0,,2.0,,1.0,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,237,101,221,458,14,11.0,46.0,73.0,47.0,47.0,37.0,51.0,17.0,19.0,5.0,154.0,299.0,8.0,6.0,53.0,3.0,10.0,
Opposition,Opposition,191,73,133,324,12,10.0,27.0,63.0,31.0,61.0,34.0,50.0,19.0,17.0,1.0,132.0,182.0,10.0,10.0,51.0,3.0,5.0,
