Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
11,"Aish, James",28y 256d,181 (84-2-95 46.96%),33 (0.18),99 (51-2-46 52.53%),10 (0.10)
24,"Amiss, Jye",20y 356d,42 (22-1-19 53.57%),73 (1.74),←,
41,"Banfield, Bailey",26y 146d,93 (45-2-46 49.46%),62 (0.67),←,
8,"Brayshaw, Andrew",24y 256d,141 (67-2-72 48.23%),49 (0.35),←,
5,"Chapman, Heath",22y 172d,37 (23-2-12 64.86%),2 (0.05),←,
6,"Clark, Jordan",23y 279d,97 (58-2-37 60.82%),21 (0.22),65 (37-2-26 58.46%),6 (0.09)
36,"Cox, Brennan",25y 343d,106 (49-1-56 46.70%),31 (0.29),←,
4,"Darcy, Sean",26y 39d,108 (51-2-55 48.15%),44 (0.41),←,
32,"Frederick, Michael",24y 65d,73 (44-1-28 60.96%),77 (1.05),←,
7,"Fyfe, Nat",32y 307d,236 (125-3-108 53.60%),176 (0.75),←,
9,"Jackson, Luke",22y 296d,93 (58-2-33 63.44%),68 (0.73),41 (21-1-19 52.44%),38 (0.93)
2,"OMeara, Jaeger",30y 149d,181 (82-3-96 46.13%),83 (0.46),38 (19-1-18 51.32%),13 (0.34)
25,"Pearce, Alex",29y 42d,122 (59-2-61 49.18%),5 (0.04),←,
13,"Ryan, Luke",28y 166d,150 (72-2-76 48.67%),3 (0.02),←,
3,"Serong, Caleb",23y 163d,98 (52-2-44 54.08%),24 (0.24),←,
14,"Sharp, Jeremy",22y 343d,41 (19-1-21 47.56%),16 (0.39),18 (11-1-6 63.89%),9 (0.50)
1,"Sturt, Sam",24y 70d,26 (13-0-13 50.00%),36 (1.38),←,
39,"Switkowski, Sam",27y 244d,83 (43-1-39 52.41%),51 (0.61),←,
35,"Treacy, Josh",21y 352d,54 (31-1-22 58.33%),68 (1.26),←,
34,"Wagner, Corey",27y 120d,35 (11-1-23 32.86%),6 (0.17),16 (9-1-6 59.38%),
31,"Walker, Brandon",21y 278d,59 (34-2-23 59.32%),2 (0.03),←,
10,"Walters, Michael",33y 196d,238 (120-3-115 51.05%),365 (1.53),←,
26,"Young, Hayden",23y 101d,75 (40-2-33 54.67%),12 (0.16),←,
Totals,Totals,25y 285d,2369 (1202-40-1127 50.74%),1307 (0.55),,
C,"Longmuir, Justin",43y 182d,102 (52-2-48 51.96%),,←,
