Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
44,"Bandy, Daniel",23y 185d,53 (21-0-32 39.62%),44 (0.83),←,
7,"Black, Heath",19y 359d,24 (7-0-17 29.17%),14 (0.58),←,
32,"Bond, Chris",30y 116d,152 (65-1-86 43.09%),45 (0.30),30 (7-0-23 23.33%),5 (0.17)
31,"Clement, James",22y 260d,63 (20-0-43 31.75%),35 (0.56),←,
2,"Fletcher, Adrian",29y 224d,177 (77-2-98 44.07%),85 (0.48),25 (6-0-19 24.00%),12 (0.48)
3,"Harding, Greg",22y 247d,55 (22-0-33 40.00%),1 (0.02),←,
17,"Holland, Brodie",19y 139d,17 (2-0-15 11.76%),16 (0.94),←,
11,"Kickett, Dale",31y 18d,135 (55-0-80 40.74%),54 (0.40),89 (32-0-57 35.96%),14 (0.16)
8,"McManus, Shaun",23y 102d,47 (16-0-31 34.04%),29 (0.62),←,
16,"Michael, Clem",22y 310d,14 (4-0-10 28.57%),2 (0.14),←,
6,"Modra, Tony",30y 82d,127 (56-1-70 44.49%),472 (3.72),9 (1-0-8 11.11%),32 (3.56)
25,"Norrish, Jason",27y 116d,93 (36-0-57 38.71%),15 (0.16),73 (24-0-49 32.88%),13 (0.18)
10,"OReilly, Stephen",26y 194d,124 (51-0-73 41.13%),16 (0.13),88 (30-0-58 34.09%),11 (0.13)
23,"Parker, Shane",26y 93d,75 (26-0-49 34.67%),5 (0.07),←,
36,"Prescott, Ashley",26y 253d,99 (48-1-50 48.99%),18 (0.18),9 (1-0-8 11.11%),3 (0.33)
33,"Shipp, Andrew",19y 316d,5 (1-0-4 20.00%),2 (0.40),←,
15,"Sinclair, Jess",20y 269d,36 (10-0-26 27.78%),18 (0.50),←,
13,"Taylor, Garth",18y 316d,8 (1-0-7 12.50%),9 (1.13),←,
1,"Toia, Luke",21y 180d,47 (18-0-29 38.30%),27 (0.57),←,
26,"Waterhouse, Clive",24y 333d,51 (18-0-33 35.29%),71 (1.39),←,
4,"Wills, Andrew",27y 139d,131 (68-0-63 51.91%),114 (0.87),72 (28-0-44 38.89%),71 (0.99)
29,"Wira, Brad",27y 67d,71 (31-1-39 44.37%),5 (0.07),10 (1-0-9 10.00%),1 (0.10)
Totals,Totals,24y 246d,1604 (653-6-945 40.71%),1097 (0.68),,
C,"Drum, Damian",38y 298d,9 (1-0-8 11.11%),,←,
