Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Aish, James",17,9,4,21,,,,1.0,4.0,4.0,1.0,1.0,1.0,,,3.0,18.0,,,,,2.0,81.0
24,"Amiss, Jye",7,3,,7,1,3.0,,,,2.0,,1.0,1.0,,,2.0,4.0,1.0,2.0,,,1.0,91.0
41,"Banfield, Bailey",8,4,10,18,2,,,1.0,3.0,3.0,2.0,3.0,1.0,1.0,,11.0,9.0,,1.0,1.0,,2.0,84.0
8,"Brayshaw, Andrew",13,3,14,27,1,,,3.0,3.0,3.0,4.0,4.0,,1.0,1.0,10.0,18.0,,,1.0,,1.0,74.0
6,"Clark, Jordan",20,7,8,28,,,,1.0,9.0,3.0,1.0,4.0,1.0,1.0,,5.0,22.0,,,2.0,,1.0,82.0
37,"Draper, Josh",5,2,2,7,,,,1.0,1.0,,1.0,1.0,1.0,,,5.0,2.0,,,2.0,,,91.0
18,"Emmett, Tom",5,4,4,9,,,,2.0,,1.0,1.0,,,,,3.0,5.0,1.0,,,,,82.0
32,"Frederick, Michael",4,3,4,8,2,1.0,,3.0,,1.0,,1.0,,,,3.0,5.0,1.0,2.0,,,1.0,76.0
7 ↓,"Fyfe, Nat",8,3,11,19,1,,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,6.0,13.0,,,1.0,,,56.0
15,"Hughes, Ethan",5,4,5,10,,,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,8.0,1.0,,4.0,,,81.0
9,"Jackson, Luke",6,3,18,24,2,,21.0,5.0,1.0,1.0,7.0,4.0,1.0,3.0,,15.0,9.0,2.0,2.0,3.0,,,85.0
44,"Johnson, Matthew",10,6,12,22,,,,3.0,2.0,3.0,,3.0,1.0,,,5.0,17.0,,,1.0,,,74.0
2 ↑,"OMeara, Jaeger",2,,2,4,,1.0,,1.0,1.0,1.0,,1.0,,,,3.0,3.0,,,,,,22.0
25,"Pearce, Alex",6,3,2,8,,,,2.0,3.0,,,3.0,,2.0,,1.0,6.0,,,6.0,,,100.0
13,"Ryan, Luke",19,7,4,23,,,,3.0,5.0,1.0,2.0,,,,,7.0,10.0,,,5.0,,,95.0
3,"Serong, Caleb",16,5,19,35,,2.0,,6.0,3.0,5.0,8.0,,1.0,,3.0,15.0,20.0,,,,1.0,1.0,85.0
14,"Sharp, Jeremy",11,8,2,13,1,1.0,,1.0,2.0,2.0,,,1.0,,,2.0,13.0,,,1.0,1.0,,75.0
39,"Switkowski, Sam",5,2,3,8,1,,,9.0,,4.0,2.0,2.0,1.0,1.0,,5.0,3.0,1.0,1.0,1.0,,1.0,76.0
20,"Taberner, Matthew",5,3,5,10,2,1.0,,,,,,1.0,,,,3.0,6.0,1.0,3.0,1.0,,,84.0
35,"Treacy, Josh",6,4,4,10,1,,4.0,3.0,,4.0,,3.0,,2.0,,8.0,3.0,2.0,1.0,2.0,,,79.0
31,"Walker, Brandon",8,3,3,11,,,,1.0,2.0,,,1.0,3.0,1.0,,4.0,7.0,,,4.0,3.0,,70.0
10,"Walters, Michael",9,4,1,10,1,1.0,,3.0,,2.0,,2.0,1.0,,,1.0,7.0,1.0,1.0,,1.0,2.0,80.0
26,"Young, Hayden",11,4,10,21,,,,4.0,2.0,3.0,3.0,8.0,,2.0,,7.0,16.0,,,1.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,94,147,353,15,12.0,25.0,59.0,46.0,45.0,34.0,47.0,16.0,16.0,4.0,127.0,224.0,11.0,13.0,36.0,6.0,12.0,
Opposition,Opposition,194,93,167,361,11,10.0,36.0,42.0,30.0,57.0,38.0,45.0,16.0,16.0,2.0,118.0,238.0,6.0,15.0,43.0,6.0,9.0,
