Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",27y 45d,105 (68-1-36 65.24%),180 (1.71),←,
21,"Barlow, Michael",26y 255d,87 (57-1-29 66.09%),57 (0.66),←,
30,"Clarke, Zac",24y 155d,72 (39-1-32 54.86%),39 (0.54),←,
15,"Crowley, Ryan",30y 178d,186 (104-1-81 56.18%),116 (0.62),←,
17,"Crozier, Hayden",20y 249d,21 (13-0-8 61.90%),16 (0.76),←,
3,"Dawson, Zac",28y 189d,139 (91-4-44 66.91%),7 (0.05),62 (45-1-16 73.39%),3 (0.05)
41,"Duffield, Paul",29y 206d,155 (83-1-71 53.87%),33 (0.21),←,
32,"Hill, Stephen",24y 121d,126 (71-0-55 56.35%),83 (0.66),←,
5,"Ibbotson, Garrick",26y 168d,125 (63-1-61 50.80%),21 (0.17),←,
37,"Johnson, Michael",29y 314d,190 (104-1-85 55.00%),62 (0.33),←,
23,"Mayne, Chris",25y 301d,126 (74-1-51 59.13%),150 (1.19),←,
16,"Mundy, David",29y 41d,208 (114-1-93 55.05%),81 (0.39),←,
13,"Mzungu, Tendai",28y 183d,84 (53-1-30 63.69%),50 (0.60),←,
27,"Neale, Lachie",21y 98d,44 (27-0-17 61.36%),20 (0.45),←,
29,"Pavlich, Matthew",32y 242d,311 (149-0-162 47.91%),625 (2.01),←,
6,"Pearce, Danyle",28y 145d,201 (93-2-106 46.77%),104 (0.52),47 (34-1-12 73.40%),28 (0.60)
31,"Sandilands, Aaron",31y 267d,214 (117-0-97 54.67%),82 (0.38),←,
34,"Spurr, Lee",27y 34d,58 (44-1-13 76.72%),5 (0.09),←,
8,"Suban, Nick",24y 113d,104 (57-1-46 55.29%),45 (0.43),←,
33,"Sutcliffe, Cam",22y 99d,45 (33-1-11 74.44%),12 (0.27),←,
20,"Taberner, Matthew",21y 74d,11 (7-0-4 63.64%),9 (0.82),←,
10,"Walters, Michael",23y 235d,48 (32-1-15 67.71%),93 (1.94),←,
Totals,Totals,26y 202d,2660 (1493-20-1147 56.13%),1890 (0.71),,
C,"Lyon, Ross",47y 295d,192 (125-5-62 66.41%),,71 (49-1-21 69.72%),
