Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bowden, Joel",7,7,5,12,,,,,2.0,1.0,,,,,,2.0,9.0,,,4.0,,,81.0
7,"Brown, Nathan",7,5,4,11,2,1.0,,,,1.0,,,,,,,11.0,,3.0,,1.0,1.0,90.0
42,"Collins, Andrew",8,5,16,24,,,,8.0,2.0,4.0,1.0,2.0,,,,3.0,21.0,,,2.0,,,80.0
9,"Cotchin, Trent",11,7,9,20,1,,,2.0,,2.0,,1.0,,,,4.0,16.0,1.0,,,,1.0,68.0
32,"Cousins, Ben",8,2,17,25,1,,,1.0,2.0,2.0,2.0,,,,,5.0,20.0,,,1.0,4.0,,71.0
3,"Deledio, Brett",13,10,14,27,2,,2.0,1.0,3.0,7.0,5.0,2.0,,1.0,,8.0,19.0,1.0,1.0,2.0,5.0,2.0,83.0
41,"Foley, Nathan",9,5,19,28,1,,,6.0,3.0,1.0,4.0,3.0,,2.0,,10.0,18.0,,,2.0,1.0,,86.0
23,"Jackson, Daniel",13,8,14,27,,,,1.0,2.0,2.0,6.0,2.0,,1.0,,9.0,19.0,,,3.0,1.0,,88.0
16,"McGuane, Luke",6,6,10,16,1,,,1.0,2.0,3.0,,1.0,,1.0,,5.0,11.0,1.0,,1.0,6.0,,90.0
40,"Moore, Kelvin",7,4,5,12,,1.0,,2.0,3.0,,,2.0,,1.0,,2.0,10.0,,1.0,3.0,,,87.0
20,"Morton, Mitch",7,5,5,12,2,3.0,,2.0,,2.0,1.0,2.0,,,,3.0,9.0,,3.0,,,1.0,92.0
38,"Nahas, Robin",10,4,9,19,1,1.0,,4.0,,4.0,1.0,4.0,1.0,,,5.0,13.0,,1.0,1.0,1.0,2.0,89.0
17,"Newman, Chris",11,7,13,24,1,,,4.0,,1.0,,1.0,1.0,1.0,,3.0,21.0,,1.0,4.0,,1.0,85.0
26,"Pattison, Adam",4,6,11,15,,1.0,9.0,1.0,,1.0,1.0,1.0,2.0,,,5.0,10.0,1.0,1.0,2.0,1.0,1.0,69.0
15,"Pettifer, Kayne",15,7,6,21,,1.0,,,1.0,4.0,1.0,2.0,,1.0,,2.0,19.0,,1.0,,1.0,2.0,90.0
14,"Polo, Dean",7,6,14,21,,,,2.0,3.0,2.0,,2.0,1.0,1.0,,11.0,13.0,2.0,,4.0,3.0,1.0,82.0
8,"Riewoldt, Jack",13,8,3,16,2,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,6.0,8.0,1.0,2.0,2.0,,1.0,89.0
5,"Simmonds, Troy",8,5,5,13,1,,5.0,2.0,1.0,2.0,,2.0,,1.0,,2.0,11.0,1.0,1.0,,,,73.0
30,"Tambling, Richard",15,7,13,28,1,,,4.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,7.0,21.0,1.0,,1.0,3.0,,89.0
2,"Thursfield, Will",3,4,3,6,,,,1.0,,1.0,1.0,,,,,1.0,5.0,,,5.0,,,97.0
21,"Tuck, Shane",15,8,15,30,1,,3.0,4.0,2.0,2.0,3.0,6.0,3.0,4.0,1.0,15.0,18.0,1.0,1.0,1.0,,1.0,80.0
35,"White, Matt",4,1,3,7,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,2.0,6.0,,,3.0,1.0,,39.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,127,213,414,17,13.0,19.0,49.0,30.0,47.0,29.0,39.0,11.0,17.0,4.0,110.0,308.0,10.0,16.0,41.0,28.0,14.0,
Opposition,Opposition,210,112,144,354,17,10.0,50.0,58.0,28.0,48.0,36.0,35.0,17.0,11.0,2.0,115.0,233.0,12.0,13.0,33.0,18.0,12.0,
