Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",8,2,1,9,,,,2.0,1.0,2.0,1.0,4.0,2.0,2.0,,3.0,6.0,,,,,1.0,83.0
26,"Bradley, Kepler",8,9,9,17,3,,2.0,3.0,,3.0,2.0,2.0,1.0,1.0,,9.0,8.0,3.0,1.0,,,,82.0
15,"Crowley, Ryan",7,1,3,10,,1.0,,2.0,,2.0,1.0,1.0,1.0,,,4.0,5.0,,1.0,,,1.0,89.0
40,"de Boer, Matt",7,3,6,13,,,,4.0,,4.0,1.0,3.0,1.0,,,5.0,8.0,,,1.0,,2.0,86.0
41,"Duffield, Paul",13,3,4,17,,,,6.0,4.0,2.0,1.0,3.0,1.0,1.0,,6.0,9.0,1.0,,5.0,,,91.0
4,"Hasleby, Paul",5,4,9,14,,2.0,,4.0,,1.0,,1.0,1.0,,,9.0,5.0,2.0,1.0,,,,75.0
43,"Hayden, Roger",8,2,11,19,,,,1.0,4.0,1.0,,1.0,2.0,,,10.0,8.0,,,,,,84.0
32,"Hill, Stephen",13,9,5,18,2,3.0,,1.0,,4.0,1.0,1.0,2.0,,,6.0,13.0,,1.0,1.0,4.0,,90.0
5,"Ibbotson, Garrick",11,5,7,18,,,,,5.0,1.0,,2.0,,1.0,,8.0,9.0,1.0,,3.0,1.0,,96.0
37,"Johnson, Michael",4,3,4,8,1,,,3.0,1.0,2.0,,2.0,,1.0,,1.0,7.0,,1.0,1.0,,,77.0
9,"McPhee, Adam",17,13,6,23,1,,,3.0,2.0,1.0,,1.0,2.0,1.0,,12.0,13.0,7.0,1.0,4.0,,,100.0
2,"Morabito, Anthony",11,3,3,14,1,1.0,,9.0,,5.0,,3.0,,1.0,,2.0,12.0,,,2.0,,,79.0
16,"Mundy, David",17,5,12,29,,1.0,,5.0,2.0,4.0,10.0,2.0,1.0,,,12.0,17.0,,,1.0,,1.0,78.0
10,"Palmer, Rhys",5,1,14,19,,,,6.0,3.0,2.0,2.0,2.0,1.0,,,7.0,13.0,,,2.0,,1.0,62.0
29,"Pavlich, Matthew",15,3,7,22,3,1.0,,3.0,1.0,7.0,5.0,4.0,2.0,1.0,,12.0,12.0,,1.0,,,1.0,94.0
46,"Pearce, Clancee",8,3,4,12,,,,2.0,4.0,,,2.0,,,,4.0,9.0,,,,,,76.0
24,"Roberton, Dylan",9,5,2,11,,,,,2.0,3.0,,1.0,,,,2.0,9.0,,,2.0,,,68.0
35,"Ruffles, Tim",2,3,2,4,,1.0,,,,1.0,,,,,,,4.0,,1.0,3.0,,,58.0
31,"Sandilands, Aaron",6,5,13,19,,2.0,39.0,2.0,1.0,2.0,4.0,1.0,,,1.0,15.0,5.0,3.0,1.0,3.0,,1.0,83.0
36,"Silvagni, Alex",8,6,2,10,,,,6.0,6.0,1.0,1.0,,,,,3.0,6.0,1.0,,11.0,,,100.0
8,"Suban, Nick",6,1,3,9,,,,3.0,2.0,2.0,2.0,4.0,2.0,3.0,,4.0,5.0,,,1.0,,,69.0
47,"van Berlo, Jay",5,,5,10,,,,4.0,1.0,1.0,1.0,,2.0,,,6.0,4.0,,,,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,89,132,325,11,15.0,41.0,69.0,39.0,51.0,32.0,40.0,21.0,12.0,1.0,140.0,187.0,18.0,9.0,40.0,5.0,8.0,
Opposition,Opposition,222,117,185,407,15,10.0,22.0,58.0,37.0,58.0,40.0,42.0,13.0,21.0,5.0,135.0,271.0,7.0,11.0,41.0,11.0,3.0,
