Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44 ↓,"Arnot, Matt",6,2,3,9,,1.0,,2.0,,2.0,,1.0,2.0,,,6.0,5.0,,1.0,1.0,,,64.0
25,"Chaplin, Troy",9,6,6,15,,,,2.0,1.0,,,,1.0,,,4.0,12.0,,,6.0,,,97.0
30,"Conca, Reece",7,6,9,16,,,,2.0,1.0,1.0,1.0,2.0,,1.0,,2.0,13.0,,,,1.0,,77.0
9,"Cotchin, Trent",26,6,8,34,1,,,6.0,5.0,2.0,6.0,3.0,2.0,,2.0,9.0,25.0,,,,,,82.0
3,"Deledio, Brett",8,2,7,15,1,,,3.0,4.0,,4.0,3.0,,,,9.0,5.0,1.0,,,,,90.0
10,"Edwards, Shane",12,5,8,20,1,1.0,,3.0,1.0,2.0,1.0,2.0,,,,12.0,8.0,,,2.0,,,82.0
5,"Ellis, Brandon",15,8,9,24,,,,2.0,5.0,2.0,2.0,,,,,5.0,19.0,,,,,,78.0
41 ↑,"Foley, Nathan",2,,5,7,,,,1.0,,1.0,3.0,,,,,2.0,4.0,,,,1.0,1.0,24.0
6,"Grigg, Shaun",15,9,9,24,,1.0,,7.0,2.0,2.0,2.0,,,,,5.0,19.0,1.0,1.0,,2.0,,84.0
14,"Houli, Bachar",11,6,9,20,,,,1.0,,4.0,1.0,1.0,,,,4.0,17.0,1.0,,2.0,,,83.0
23,"Jackson, Daniel",18,4,4,22,1,,,8.0,2.0,4.0,7.0,6.0,4.0,3.0,,11.0,11.0,,2.0,1.0,,,86.0
28,"King, Jake",6,2,6,12,1,2.0,,3.0,1.0,4.0,2.0,4.0,1.0,3.0,,6.0,5.0,,1.0,3.0,2.0,1.0,89.0
20,"Maric, Ivan",5,2,5,10,,1.0,26.0,5.0,,2.0,2.0,1.0,1.0,1.0,,6.0,3.0,1.0,1.0,2.0,,1.0,91.0
4,"Martin, Dustin",24,7,6,30,1,4.0,,1.0,,6.0,3.0,4.0,,2.0,3.0,7.0,24.0,,,,4.0,1.0,87.0
38,"Morris, Steven",2,1,6,8,,,,3.0,,,1.0,3.0,2.0,3.0,,7.0,4.0,,,4.0,,,88.0
1,"Newman, Chris",11,9,9,20,,,,3.0,1.0,1.0,,3.0,,2.0,,5.0,16.0,,,1.0,,,82.0
13,"Petterd, Ricky",13,5,9,22,,,,1.0,3.0,2.0,1.0,2.0,,,,6.0,18.0,,,3.0,,,80.0
18,"Rance, Alex",15,16,15,30,,,,5.0,5.0,1.0,,1.0,3.0,,1.0,7.0,24.0,,,10.0,,,96.0
8,"Riewoldt, Jack",13,2,2,15,4,1.0,,4.0,,2.0,,3.0,4.0,,,10.0,4.0,1.0,2.0,2.0,,,92.0
29,"Vickery, Ty",7,7,8,15,1,,9.0,2.0,,3.0,2.0,4.0,2.0,,,6.0,9.0,3.0,,,,,90.0
31,"Vlastuin, Nick",8,7,9,17,,,,4.0,,1.0,1.0,1.0,,,,7.0,10.0,2.0,,4.0,1.0,,73.0
35,"White, Matt",10,2,7,17,1,,1.0,,,3.0,1.0,1.0,,,,5.0,12.0,,,2.0,1.0,2.0,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,243,114,159,402,12,12.0,36.0,68.0,31.0,45.0,40.0,45.0,22.0,15.0,6.0,141.0,267.0,10.0,8.0,43.0,12.0,6.0,
Opposition,Opposition,188,100,158,346,8,9.0,30.0,73.0,30.0,40.0,23.0,52.0,15.0,21.0,,125.0,223.0,16.0,8.0,45.0,10.0,6.0,
