Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",27y 324d,114 (75-1-38 66.23%),188 (1.65),←,
21,"Barlow, Michael",27y 169d,99 (66-1-32 67.17%),66 (0.67),←,
30,"Clarke, Zac",25y 69d,84 (48-1-35 57.74%),44 (0.52),←,
17,"Crozier, Hayden",21y 163d,25 (14-0-11 56.00%),20 (0.80),←,
41,"Duffield, Paul",30y 120d,167 (92-1-74 55.39%),33 (0.20),←,
7,"Fyfe, Nat",23y 260d,102 (66-1-35 65.20%),89 (0.87),←,
32,"Hill, Stephen",25y 35d,138 (80-0-58 57.97%),90 (0.65),←,
5,"Ibbotson, Garrick",27y 82d,137 (72-1-64 52.92%),21 (0.15),←,
37,"Johnson, Michael",30y 228d,200 (113-1-86 56.75%),62 (0.31),←,
23,"Mayne, Chris",26y 215d,138 (83-1-54 60.51%),163 (1.18),←,
18,"McPharlin, Luke",33y 186d,246 (132-1-113 53.86%),115 (0.47),234 (124-1-109 53.21%),112 (0.48)
16,"Mundy, David",29y 320d,220 (123-1-96 56.14%),87 (0.40),←,
27,"Neale, Lachie",22y 12d,56 (36-0-20 64.29%),28 (0.50),←,
29,"Pavlich, Matthew",33y 156d,323 (158-0-165 48.92%),650 (2.01),←,
46,"Pearce, Clancee",24y 225d,88 (51-1-36 58.52%),34 (0.39),←,
6,"Pearce, Danyle",29y 59d,213 (102-2-109 48.36%),112 (0.53),59 (43-1-15 73.73%),36 (0.61)
31,"Sandilands, Aaron",32y 181d,226 (126-0-100 55.75%),86 (0.38),←,
11,"Sheridan, Tom",21y 220d,24 (18-0-6 75.00%),11 (0.46),←,
8,"Suban, Nick",25y 27d,115 (66-1-48 57.83%),49 (0.43),←,
33,"Sutcliffe, Cam",23y 13d,57 (42-1-14 74.56%),14 (0.25),←,
20,"Taberner, Matthew",21y 353d,22 (15-0-7 68.18%),20 (0.91),←,
10,"Walters, Michael",24y 149d,60 (41-1-18 69.17%),115 (1.92),←,
Totals,Totals,26y 245d,2854 (1619-16-1219 56.73%),2097 (0.73),,
C,"Lyon, Ross",48y 209d,204 (134-5-65 66.91%),,83 (58-1-24 70.48%),
