Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
24,"Burton, Matthew",26y 49d,25 (9-0-16 36.00%),10 (0.40),←,
42,"Callaghan, Craig",20y 120d,19 (3-0-16 15.79%),10 (0.53),←,
13,"Chisholm, Scott",23y 40d,29 (11-0-18 37.93%),12 (0.41),←,
31,"Clement, James",19y 307d,4 (0-0-4 0.00%),,←,
30,"Delaney, Tony",20y 193d,29 (11-1-17 39.66%),18 (0.62),14 (6-0-8 42.86%),9 (0.64)
19,"Dhurrkay, Gary",22y 125d,20 (8-0-12 40.00%),28 (1.40),←,
32,"Harding, Greg",19y 294d,11 (3-0-8 27.27%),,←,
14,"Hunter, Kingsley",21y 41d,12 (3-0-9 25.00%),17 (1.42),←,
38,"Jones, Anthony",21y 201d,25 (9-0-16 36.00%),,←,
11,"Kickett, Dale",28y 64d,79 (35-0-44 44.30%),44 (0.56),33 (12-0-21 36.36%),4 (0.12)
9,"Mann, Peter",25y 304d,73 (29-0-44 39.73%),60 (0.82),34 (11-0-23 32.35%),48 (1.41)
8,"McManus, Shaun",20y 149d,30 (9-0-21 30.00%),22 (0.73),←,
45,"Mitchell, Gavin",23y 192d,13 (4-0-9 30.77%),8 (0.62),←,
21,"Muir, David",24y 356d,18 (3-0-15 16.67%),2 (0.11),←,
25,"Norrish, Jason",24y 163d,48 (21-0-27 43.75%),6 (0.13),28 (9-0-19 32.14%),4 (0.14)
10,"OReilly, Stephen",23y 241d,70 (31-0-39 44.29%),9 (0.13),34 (10-0-24 29.41%),4 (0.12)
41,"Parker, Daniel",22y 43d,1 (0-0-1 0.00%),1 (1.00),←,
23,"Parker, Shane",23y 140d,15 (5-0-10 33.33%),,←,
3,"Rowe, Brad",26y 227d,73 (34-1-38 47.26%),80 (1.10),8 (2-0-6 25.00%),7 (0.88)
26,"Waterhouse, Clive",22y 14d,7 (2-0-5 28.57%),2 (0.29),←,
2,"Watters, Scott",27y 164d,105 (42-2-61 40.95%),30 (0.29),22 (7-0-15 31.82%),6 (0.27)
Totals,Totals,23y 76d,706 (272-4-430 38.53%),359 (0.51),,
C,"Neesham, Gerard",41y 209d,36 (12-0-24 33.33%),,←,
