St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
30,"Beetham, Caydn",18y 85d,4 (1-0-3 25.00%),1 (0.25),←,
39,"Blake, Jason",19y 81d,5 (1-0-4 20.00%),1 (0.20),←,
3,"Burke, Nathan",30y 119d,283 (124-3-156 44.35%),101 (0.36),←,
41,"Campbell, Fred",20y 173d,11 (3-0-8 27.27%),7 (0.64),6 (0-0-6 0.00%),4 (0.67)
16,"Carr, Matthew",21y 158d,23 (7-1-15 32.61%),2 (0.09),←,
27,"Davis, Chad",20y 3d,11 (1-1-9 13.64%),9 (0.82),←,
6,"Delaney, Tony",24y 160d,56 (18-2-36 33.93%),24 (0.43),13 (1-1-11 11.54%),4 (0.31)
25,"Hall, Barry",23y 117d,63 (29-1-33 46.83%),82 (1.30),←,
35,"Harvey, Robert",28y 288d,231 (114-3-114 50.00%),135 (0.58),←,
7,"Hayes, Lenny",20y 142d,29 (9-1-19 32.76%),11 (0.38),←,
8,"Hudghton, Max",23y 276d,76 (35-1-40 46.71%),3 (0.04),←,
5,"Jones, Austinn",23y 250d,117 (54-1-62 46.58%),95 (0.81),←,
36,"Knowles, Brett",22y 22d,23 (7-0-16 30.43%),6 (0.26),←,
26,"McLaren, Joe",22y 176d,52 (20-1-31 39.42%),27 (0.52),←,
9,"Monkhorst, Damian",30y 288d,214 (108-5-101 51.64%),45 (0.21),9 (1-1-7 16.67%),
43,"Moyle, Brett",20y 65d,8 (1-0-7 12.50%),3 (0.38),←,
1,"Peckett, Justin",27y 243d,148 (67-1-80 45.61%),17 (0.11),←,
17,"Plapp, Justin",22y 348d,23 (10-0-13 43.48%),25 (1.09),5 (0-0-5 0.00%),3 (0.60)
13,"Sierakowski, David",25y 158d,84 (39-1-44 47.02%),22 (0.26),←,
19,"Sziller, Steven",27y 172d,109 (52-1-56 48.17%),38 (0.35),←,
4,"Thompson, Andrew",27y 227d,79 (39-1-39 50.00%),60 (0.76),←,
32,"Traianidis, Jason",25y 210d,50 (23-0-27 46.00%),31 (0.62),←,
Totals,Totals,23y 337d,1699 (762-24-913 44.85%),745 (0.44),,
C,"Watson, Tim",38y 327d,35 (11-1-23 32.86%),,←,
