St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
26,"Battle, Josh",23y 207d,58 (26-0-32 44.83%),26 (0.45),←,
16,"Butler, Dan",25y 297d,88 (53-0-35 60.23%),101 (1.15),43 (22-0-21 51.16%),48 (1.12)
13,"Byrnes, Ryan",20y 328d,19 (10-0-9 52.63%),6 (0.32),←,
5,"Crouch, Brad",28y 72d,117 (58-0-59 49.57%),41 (0.35),22 (10-0-12 45.45%),7 (0.32)
4,"Gresham, Jade",24y 215d,97 (42-1-54 43.81%),101 (1.04),←,
47,"Hayes, Jack",26y 21d,2 (1-0-1 50.00%),3 (1.50),←,
22,"Higgins, Jack",23y 8d,64 (40-1-23 63.28%),60 (0.94),21 (10-0-11 47.62%),31 (1.48)
8,"Hill, Bradley",28y 261d,192 (116-0-76 60.42%),84 (0.44),43 (22-0-21 51.16%),5 (0.12)
39,"Joyce, Darragh",24y 338d,11 (6-0-5 54.55%),,←,
12,"King, Max",21y 263d,40 (19-0-21 47.50%),65 (1.63),←,
31,"Lienert, Jarrod",27y 234d,24 (14-0-10 58.33%),1 (0.04),1 (1-0-0 100.00%),
19,"Marshall, Rowan",26y 123d,67 (29-0-38 43.28%),36 (0.54),←,
36,"McKenzie, Daniel",25y 314d,63 (26-0-37 41.27%),8 (0.13),←,
28,"Membrey, Tim",27y 305d,133 (60-2-71 45.86%),226 (1.70),132 (59-2-71 45.45%),226 (1.71)
33,"Paton, Ben",23y 159d,37 (17-0-20 45.95%),4 (0.11),←,
6,"Ross, Sebastian",28y 324d,162 (62-2-98 38.89%),29 (0.18),←,
43,"Sharman, Cooper",21y 245d,6 (3-0-3 50.00%),10 (1.67),←,
35,"Sinclair, Jack",27y 43d,121 (50-1-70 41.74%),44 (0.36),←,
9,"Steele, Jack",26y 104d,121 (51-1-69 42.56%),49 (0.40),104 (43-1-60 41.83%),40 (0.38)
7,"Wanganeen-Milera, Nasiah",19y 33d,2 (1-0-1 50.00%),,←,
29,"Webster, Jimmy",28y 272d,115 (42-1-72 36.96%),4 (0.03),←,
44,"Wilkie, Callum",26y 17d,65 (31-0-34 47.69%),,←,
32,"Wood, Mason",28y 195d,76 (37-0-39 48.68%),84 (1.11),11 (7-0-4 63.64%),8 (0.73)
Totals,Totals,25y 159d,1680 (794-9-877 47.26%),982 (0.58),,
C,"Ratten, Brett",50y 259d,169 (85-1-83 50.59%),,49 (25-0-24 51.02%),
