Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",22y 202d,40 (22-0-18 55.00%),8 (0.20),←,
27,"Ball, Jason",32y 203d,179 (107-0-72 59.78%),157 (0.88),76 (44-0-32 57.89%),43 (0.57)
21,"Barry, Leo",28y 24d,157 (88-0-69 56.05%),50 (0.32),←,
42,"Bevan, Paul",20y 258d,35 (20-0-15 57.14%),10 (0.29),←,
6,"Bolton, Craig",25y 12d,89 (53-0-36 59.55%),17 (0.19),60 (36-0-24 60.00%),7 (0.12)
32,"Buchanan, Amon",22y 245d,34 (18-0-16 52.94%),12 (0.35),←,
28,"Crouch, Jared",27y 99d,168 (88-1-79 52.68%),38 (0.23),←,
2,"Davis, Nick",25y 74d,116 (55-0-61 47.41%),149 (1.28),45 (25-0-20 55.56%),64 (1.42)
26,"Dempster, Sean",21y 143d,8 (5-0-3 62.50%),,←,
37,"Goodes, Adam",25y 155d,147 (76-1-70 52.04%),154 (1.05),←,
1,"Hall, Barry",28y 124d,165 (76-2-87 46.67%),373 (2.26),77 (42-1-34 55.19%),229 (2.97)
16,"Jolly, Darren",23y 218d,58 (26-0-32 44.83%),16 (0.28),10 (6-0-4 60.00%),5 (0.50)
17,"Kennelly, Tadhg",23y 346d,87 (50-0-37 57.47%),25 (0.29),←,
31,"Kirk, Brett",28y 230d,109 (58-1-50 53.67%),47 (0.43),←,
40,"Malceski, Nick",20y 301d,2 (2-0-0 100.00%),1 (0.50),←,
4,"Mathews, Ben",26y 195d,145 (77-1-67 53.45%),27 (0.19),←,
3,"McVeigh, Jarrad",20y 66d,29 (17-0-12 58.62%),9 (0.31),←,
5,"OKeefe, Ryan",24y 139d,79 (44-0-35 55.70%),81 (1.03),←,
19,"OLoughlin, Michael",28y 112d,208 (116-2-90 56.25%),346 (1.66),←,
30,"Roberts-Thomson, Lewis",21y 277d,34 (21-0-13 61.76%),5 (0.15),←,
22,"Saddington, Jason",25y 232d,140 (72-1-67 51.79%),41 (0.29),←,
10,"Williams, Paul",32y 70d,280 (130-3-147 46.96%),300 (1.07),91 (49-1-41 54.40%),77 (0.85)
Totals,Totals,25y 86d,2309 (1221-12-1076 52.88%),1866 (0.81),,
C,"Roos, Paul",41y 350d,70 (42-0-28 60.00%),,←,
