Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",31y 129d,265 (150-0-115 56.60%),231 (0.87),142 (66-0-76 46.48%),111 (0.78)
21,"Black, Heath",28y 41d,180 (72-0-108 40.00%),77 (0.43),126 (50-0-76 39.68%),58 (0.46)
2,"Carr, Josh",27y 70d,163 (107-1-55 65.95%),86 (0.53),58 (30-0-28 51.72%),26 (0.45)
9,"Carr, Matthew",28y 191d,154 (65-1-88 42.53%),63 (0.41),126 (58-0-68 46.03%),61 (0.48)
25,"Dodd, Steven",24y 18d,56 (30-0-26 53.57%),3 (0.05),←,
33,"Farmer, Jeff",30y 14d,223 (106-0-117 47.53%),447 (2.00),105 (54-0-51 51.43%),188 (1.79)
14,"Grover, Antoni",27y 119d,122 (56-0-66 45.90%),16 (0.13),←,
4,"Hasleby, Paul",26y 26d,159 (68-0-91 42.77%),96 (0.60),←,
43,"Hayden, Roger",26y 211d,72 (40-0-32 55.56%),5 (0.07),←,
11,"Headland, Des",26y 168d,143 (90-0-53 62.94%),149 (1.04),91 (50-0-41 54.95%),97 (1.07)
37,"Johnson, Michael",22y 261d,46 (27-0-19 58.70%),7 (0.15),←,
8,"McManus, Shaun",31y 149d,209 (84-0-125 40.19%),88 (0.42),←,
18,"McPharlin, Luke",25y 219d,105 (59-0-46 56.19%),63 (0.60),93 (51-0-42 54.84%),60 (0.65)
16,"Mundy, David",21y 353d,56 (31-0-25 55.36%),8 (0.14),←,
23,"Parker, Shane",34y 140d,238 (95-0-143 39.92%),11 (0.05),←,
29,"Pavlich, Matthew",25y 189d,167 (75-0-92 44.91%),283 (1.69),←,
31,"Sandilands, Aaron",24y 214d,91 (52-0-39 57.14%),26 (0.29),←,
3,"Schammer, Byron",22y 17d,79 (47-0-32 59.49%),27 (0.34),←,
6,"Solomon, Dean",27y 180d,171 (97-1-73 57.02%),64 (0.37),13 (5-0-8 38.46%),8 (0.62)
17,"Tarrant, Chris",26y 293d,174 (80-0-94 45.98%),324 (1.86),13 (5-0-8 38.46%),25 (1.92)
22,"Thornton, Scott",24y 300d,48 (25-0-23 52.08%),4 (0.08),←,
34,"Warnock, Robert",20y 170d,6 (2-0-4 33.33%),3 (0.50),←,
Totals,Totals,26y 191d,2927 (1458-3-1466 49.81%),2081 (0.71),,
C,"Connolly, Chris",44y 105d,129 (68-0-61 52.71%),,128 (67-0-61 52.34%),
