Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
42,"Bevan, Paul",25y 237d,110 (58-2-50 53.64%),25 (0.23),←,
24,"Bolton, Jude",30y 68d,242 (129-3-110 53.93%),115 (0.48),←,
19,"Bradshaw, Daniel",31y 182d,230 (130-3-97 57.17%),521 (2.27),8 (5-0-3 62.50%),25 (3.13)
37,"Goodes, Adam",30y 134d,261 (140-3-118 54.21%),285 (1.09),←,
39,"Grundy, Heath",23y 354d,55 (28-0-27 50.91%),18 (0.33),←,
4,"Hannebery, Dan",19y 87d,14 (7-0-7 50.00%),5 (0.36),←,
35,"Heath, Campbell",19y 51d,1 (0-0-1 0.00%),,←,
15,"Jack, Kieren",22y 328d,56 (26-1-29 47.32%),32 (0.57),←,
32,"Jetta, Lewis",21y 18d,9 (5-0-4 55.56%),,←,
12,"Kennedy, Josh",21y 336d,22 (10-0-12 45.45%),9 (0.41),9 (5-0-4 55.56%),5 (0.56)
17,"Kennelly, Tadhg",28y 325d,167 (103-1-63 61.98%),29 (0.17),←,
31,"Kirk, Brett",33y 209d,226 (123-3-100 55.09%),90 (0.40),←,
9,"Malceski, Nick",25y 280d,77 (49-1-27 64.29%),39 (0.51),←,
29,"Mattner, Martin",27y 289d,153 (86-1-66 56.54%),35 (0.23),55 (26-1-28 48.18%),21 (0.38)
3,"McVeigh, Jarrad",25y 45d,132 (74-2-56 56.82%),91 (0.69),←,
5,"OKeefe, Ryan",29y 118d,195 (108-2-85 55.90%),198 (1.02),←,
26,"Playfair, Henry",27y 120d,65 (36-1-28 56.15%),41 (0.63),13 (7-0-6 53.85%),12 (0.92)
38,"Pyke, Mike",26y 59d,11 (3-0-8 27.27%),,←,
30,"Roberts-Thomson, Lewis",26y 256d,127 (73-1-53 57.87%),14 (0.11),←,
16,"Rohan, Gary",18y 349d,3 (0-0-3 0.00%),3 (1.00),←,
2,"Shaw, Rhyce",28y 218d,125 (61-0-64 48.80%),25 (0.20),31 (13-0-18 41.94%),5 (0.16)
40,"Smith, Nick",21y 344d,18 (5-0-13 27.78%),5 (0.28),←,
Totals,Totals,25y 267d,2299 (1254-24-1021 54.55%),1580 (0.69),,
C,"Roos, Paul",46y 329d,187 (107-2-78 57.75%),,←,
