Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",8,3,1,9,2,1.0,,4.0,,,,,2.0,,,,,,,,,,
7,"Allan, Ben",21,4,4,25,,2.0,,2.0,,,,,2.0,,,,,,,,,,
33,"Burrows, Craig",2,,1,3,1,,,,,,,,1.0,1.0,,,,,,,,,
24,"Burton, Matthew",6,6,4,10,1,,17.0,,,,,,,1.0,,,,,,,,,
13,"Chisholm, Scott",8,4,5,13,,1.0,,,,,,,,1.0,,,,,,,,,
6,"Gilbert, Phil",3,3,3,6,,,,,,,,,1.0,2.0,,,,,,,,,
16,"Hutton, John",10,2,2,12,2,3.0,,,,,,,2.0,1.0,,,,,,,,,
11,"Kickett, Dale",9,3,6,15,,,,3.0,,,,,,,,,,,,,,,
36,"Leach, Quenton",3,2,12,15,,,,,,,,,,1.0,,,,,,,,,
48,"Madigan, Greg",6,3,1,7,1,,,,,,,,1.0,,,,,,,,,,
9,"Mann, Peter",10,10,2,12,,1.0,,,,,,,1.0,,,,,,,,,,
43,"McGovern, Andrew",9,3,1,10,,,,1.0,,,,,1.0,1.0,,,,,,,,,
8,"McManus, Shaun",10,1,5,15,,,,,,,,,4.0,,,,,,,,,,
50,"Mildenhall, Neil",12,2,7,19,,,,,,,,,1.0,1.0,,,,,,,,,
49,"Miller, Peter",13,8,4,17,2,1.0,,3.0,,,,,,,,,,,,,,,
25,"Norrish, Jason",9,5,8,17,,,,2.0,,,,,2.0,4.0,,,,,,,,,
10,"OReilly, Stephen",12,6,2,14,,,,1.0,,,,,2.0,,,,,,,,,,
23,"Parker, Shane",1,1,9,10,,,,1.0,,,,,,1.0,,,,,,,,,
31,"Wardell-Johnson, Leigh",7,,3,10,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
2,"Watters, Scott",8,2,11,19,,,,1.0,,,,,1.0,2.0,,,,,,,,,
20,"Wolf, Clinton",,,3,3,,,9.0,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,167,68,94,261,9,12.0,26.0,19.0,,,,,23.0,17.0,,,,,,,,,
Opposition,Opposition,225,77,94,319,23,13.0,26.0,32.0,,,,,17.0,23.0,6.0,,,,,,,,
